specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment
COS-FUV_P0_z0.17_4.fits|1215.67|0.17|13.155|0.101|73.256|22.304|104.363|14.419|3|3|3|-200.0|200.0|1421.522892272781|1423.144907727219|28530|28827|0.17041|H I|a|--
COS-FUV_P0_z0.17_4.fits|1031.9261|0.17|13.767|0.106|43.792|15.207|107.407|10.075|2|2|2|-200.0|200.0|1206.665110008284|1208.0419639917154|5667|5804|0.17042|O VI|a|--
COS-FUV_P0_z0.17_4.fits|1037.6167|0.17|13.767|0.0|43.792|0.0|107.407|0.0|2|2|2|-200.0|200.0|1213.319315648604|1214.7037623513959|6332|6470|0.17042|O VI|a|--
