# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 4.326651e-01 2.078069e-01
1.405012e+03 0.000000e+00 7.445704e-01 2.726070e-01
1.405024e+03 0.000000e+00 6.185087e-01 2.484603e-01
1.405036e+03 0.000000e+00 5.942635e-01 2.435418e-01
1.405048e+03 0.000000e+00 9.696953e-01 3.111012e-01
1.405060e+03 0.000000e+00 8.459585e-01 2.905752e-01
1.405072e+03 0.000000e+00 9.463566e-01 3.073346e-01
1.405084e+03 0.000000e+00 8.215783e-01 2.863575e-01
1.405096e+03 0.000000e+00 1.004277e+00 3.166000e-01
1.405108e+03 0.000000e+00 8.378182e-01 2.891738e-01
1.405120e+03 0.000000e+00 9.146260e-01 3.021383e-01
1.405132e+03 0.000000e+00 9.518521e-01 3.082257e-01
1.405144e+03 0.000000e+00 8.114967e-01 2.845951e-01
1.405156e+03 0.000000e+00 1.016581e+00 3.185335e-01
1.405168e+03 0.000000e+00 7.287163e-01 2.696890e-01
1.405180e+03 0.000000e+00 1.058849e+00 3.250880e-01
1.405192e+03 0.000000e+00 9.008150e-01 2.998485e-01
1.405204e+03 0.000000e+00 8.700634e-01 2.946860e-01
1.405216e+03 0.000000e+00 7.960146e-01 2.818672e-01
1.405228e+03 0.000000e+00 1.106987e+00 3.323956e-01
1.405240e+03 0.000000e+00 1.033310e+00 3.211437e-01
1.405252e+03 0.000000e+00 8.666995e-01 2.941158e-01
1.405264e+03 0.000000e+00 1.072775e+00 3.272190e-01
1.405276e+03 0.000000e+00 8.146997e-01 2.851562e-01
1.405288e+03 0.000000e+00 1.069424e+00 3.267075e-01
1.405300e+03 0.000000e+00 9.436360e-01 3.068925e-01
1.405312e+03 0.000000e+00 8.968547e-01 2.991886e-01
1.405324e+03 0.000000e+00 1.026481e+00 3.200808e-01
1.405336e+03 0.000000e+00 1.019655e+00 3.190147e-01
1.405348e+03 0.000000e+00 8.636643e-01 2.936003e-01
1.405360e+03 0.000000e+00 1.153641e+00 3.393278e-01
1.405372e+03 0.000000e+00 9.834878e-01 3.133059e-01
1.405384e+03 0.000000e+00 1.070629e+00 3.268915e-01
1.405396e+03 0.000000e+00 8.286763e-01 2.875918e-01
1.405408e+03 0.000000e+00 1.004865e+00 3.166926e-01
1.405420e+03 0.000000e+00 9.254072e-01 3.039139e-01
1.405432e+03 0.000000e+00 8.459200e-01 2.905686e-01
1.405444e+03 0.000000e+00 9.966799e-01 3.154002e-01
1.405456e+03 0.000000e+00 1.068705e+00 3.265976e-01
1.405468e+03 0.000000e+00 1.099854e+00 3.313231e-01
1.405480e+03 0.000000e+00 1.081826e+00 3.285963e-01
1.405492e+03 0.000000e+00 9.359258e-01 3.056362e-01
1.405504e+03 0.000000e+00 9.426345e-01 3.067296e-01
1.405516e+03 0.000000e+00 1.080129e+00 3.283386e-01
1.405528e+03 0.000000e+00 9.861903e-01 3.137360e-01
1.405540e+03 0.000000e+00 7.538460e-01 2.742997e-01
1.405552e+03 0.000000e+00 1.128517e+00 3.356125e-01
1.405564e+03 0.000000e+00 1.137155e+00 3.368945e-01
1.405576e+03 0.000000e+00 7.939988e-01 2.815101e-01
1.405588e+03 0.000000e+00 1.100137e+00 3.313656e-01
1.405600e+03 0.000000e+00 1.074875e+00 3.275390e-01
1.405612e+03 0.000000e+00 9.645734e-01 3.102785e-01
1.405624e+03 0.000000e+00 1.038660e+00 3.219740e-01
1.405636e+03 0.000000e+00 1.076423e+00 3.277747e-01
1.405648e+03 0.000000e+00 1.028401e+00 3.203799e-01
1.405660e+03 0.000000e+00 1.103518e+00 3.318745e-01
1.405672e+03 0.000000e+00 9.437134e-01 3.069051e-01
1.405684e+03 0.000000e+00 1.001470e+00 3.161572e-01
1.405696e+03 0.000000e+00 9.980243e-01 3.156128e-01
1.405708e+03 0.000000e+00 9.425828e-01 3.067212e-01
1.405720e+03 0.000000e+00 1.283024e+00 3.578504e-01
1.405732e+03 0.000000e+00 8.897412e-01 2.979998e-01
1.405744e+03 0.000000e+00 9.885590e-01 3.141126e-01
1.405756e+03 0.000000e+00 1.110502e+00 3.329229e-01
1.405768e+03 0.000000e+00 1.081958e+00 3.286164e-01
1.405780e+03 0.000000e+00 1.010905e+00 3.176430e-01
1.405792e+03 0.000000e+00 9.825322e-01 3.131536e-01
1.405804e+03 0.000000e+00 8.831340e-01 2.968912e-01
1.405816e+03 0.000000e+00 1.017619e+00 3.186961e-01
1.405828e+03 0.000000e+00 1.050483e+00 3.238013e-01
1.405840e+03 0.000000e+00 1.173207e+00 3.421932e-01
1.405852e+03 0.000000e+00 1.129793e+00 3.358022e-01
1.405864e+03 0.000000e+00 9.292068e-01 3.045371e-01
1.405876e+03 0.000000e+00 1.008921e+00 3.173311e-01
1.405888e+03 0.000000e+00 1.004246e+00 3.165951e-01
1.405900e+03 0.000000e+00 1.030202e+00 3.206604e-01
1.405912e+03 0.000000e+00 1.123008e+00 3.347923e-01
1.405924e+03 0.000000e+00 9.432030e-01 3.068221e-01
1.405936e+03 0.000000e+00 8.784506e-01 2.961029e-01
1.405948e+03 0.000000e+00 1.101457e+00 3.315644e-01
1.405960e+03 0.000000e+00 1.102638e+00 3.317421e-01
1.405972e+03 0.000000e+00 1.049598e+00 3.236649e-01
1.405984e+03 0.000000e+00 1.080411e+00 3.283814e-01
1.405996e+03 0.000000e+00 1.055059e+00 3.245057e-01
1.406008e+03 0.000000e+00 8.468603e-01 2.907301e-01
1.406020e+03 0.000000e+00 1.065209e+00 3.260630e-01
1.406032e+03 0.000000e+00 1.054133e+00 3.243634e-01
1.406044e+03 0.000000e+00 6.612235e-01 2.568965e-01
1.406056e+03 0.000000e+00 9.525468e-01 3.083381e-01
1.406068e+03 0.000000e+00 1.009872e+00 3.174807e-01
1.406080e+03 0.000000e+00 7.828994e-01 2.795355e-01
1.406092e+03 0.000000e+00 9.995572e-01 3.158551e-01
1.406104e+03 0.000000e+00 8.682384e-01 2.943768e-01
1.406116e+03 0.000000e+00 9.314093e-01 3.048978e-01
1.406128e+03 0.000000e+00 1.007751e+00 3.171470e-01
1.406140e+03 0.000000e+00 8.433127e-01 2.901205e-01
1.406152e+03 0.000000e+00 1.085087e+00 3.290913e-01
1.406164e+03 0.000000e+00 9.639498e-01 3.101782e-01
1.406176e+03 0.000000e+00 1.099709e+00 3.313012e-01
1.406188e+03 0.000000e+00 9.727283e-01 3.115874e-01
1.406200e+03 0.000000e+00 8.035508e-01 2.831984e-01
1.406212e+03 0.000000e+00 9.633038e-01 3.100742e-01
1.406224e+03 0.000000e+00 1.064636e+00 3.259753e-01
1.406236e+03 0.000000e+00 1.183109e+00 3.436343e-01
1.406248e+03 0.000000e+00 8.529219e-01 2.917687e-01
1.406260e+03 0.000000e+00 1.073562e+00 3.273389e-01
1.406272e+03 0.000000e+00 1.029294e+00 3.205190e-01
1.406284e+03 0.000000e+00 8.294203e-01 2.877209e-01
1.406296e+03 0.000000e+00 1.011760e+00 3.177772e-01
1.406308e+03 0.000000e+00 1.036020e+00 3.215646e-01
1.406320e+03 0.000000e+00 8.322103e-01 2.882044e-01
1.406332e+03 0.000000e+00 9.739102e-01 3.117766e-01
1.406344e+03 0.000000e+00 1.069969e+00 3.267907e-01
1.406356e+03 0.000000e+00 9.501345e-01 3.079474e-01
1.406368e+03 0.000000e+00 9.818733e-01 3.130486e-01
1.406380e+03 0.000000e+00 8.920760e-01 2.983905e-01
1.406392e+03 0.000000e+00 8.746034e-01 2.954538e-01
1.406404e+03 0.000000e+00 7.829364e-01 2.795422e-01
1.406416e+03 0.000000e+00 9.512823e-01 3.081334e-01
1.406428e+03 0.000000e+00 9.952616e-01 3.151757e-01
1.406440e+03 0.000000e+00 9.600304e-01 3.095470e-01
1.406452e+03 0.000000e+00 1.088439e+00 3.295992e-01
1.406464e+03 0.000000e+00 1.016107e+00 3.184591e-01
1.406476e+03 0.000000e+00 1.089792e+00 3.298039e-01
1.406488e+03 0.000000e+00 1.016016e+00 3.184449e-01
1.406500e+03 0.000000e+00 9.388871e-01 3.061193e-01
