# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 5.076685e-01 2.252724e-01
1.405012e+03 0.000000e+00 6.230857e-01 2.495697e-01
1.405024e+03 0.000000e+00 6.225168e-01 2.494557e-01
1.405036e+03 0.000000e+00 6.884672e-01 2.623370e-01
1.405048e+03 0.000000e+00 8.414471e-01 2.900222e-01
1.405060e+03 0.000000e+00 8.667574e-01 2.943518e-01
1.405072e+03 0.000000e+00 7.478745e-01 2.734212e-01
1.405084e+03 0.000000e+00 1.002353e+00 3.165397e-01
1.405096e+03 0.000000e+00 8.046018e-01 2.836014e-01
1.405108e+03 0.000000e+00 9.117180e-01 3.018896e-01
1.405120e+03 0.000000e+00 9.193424e-01 3.031493e-01
1.405132e+03 0.000000e+00 1.191843e+00 3.451656e-01
1.405144e+03 0.000000e+00 1.020286e+00 3.193588e-01
1.405156e+03 0.000000e+00 1.050967e+00 3.241249e-01
1.405168e+03 0.000000e+00 9.356535e-01 3.058267e-01
1.405180e+03 0.000000e+00 1.153133e+00 3.395140e-01
1.405192e+03 0.000000e+00 8.072848e-01 2.840739e-01
1.405204e+03 0.000000e+00 8.714749e-01 2.951517e-01
1.405216e+03 0.000000e+00 9.530358e-01 3.086544e-01
1.405228e+03 0.000000e+00 9.505878e-01 3.082578e-01
1.405240e+03 0.000000e+00 8.597063e-01 2.931521e-01
1.405252e+03 0.000000e+00 9.727416e-01 3.118291e-01
1.405264e+03 0.000000e+00 9.059077e-01 3.009261e-01
1.405276e+03 0.000000e+00 1.099895e+00 3.315839e-01
1.405288e+03 0.000000e+00 1.015761e+00 3.186498e-01
1.405300e+03 0.000000e+00 1.000062e+00 3.161778e-01
1.405312e+03 0.000000e+00 9.767401e-01 3.124693e-01
1.405324e+03 0.000000e+00 1.091963e+00 3.303862e-01
1.405336e+03 0.000000e+00 1.006741e+00 3.172319e-01
1.405348e+03 0.000000e+00 9.335703e-01 3.054861e-01
1.405360e+03 0.000000e+00 9.826904e-01 3.134197e-01
1.405372e+03 0.000000e+00 1.131131e+00 3.362593e-01
1.405384e+03 0.000000e+00 9.782421e-01 3.127095e-01
1.405396e+03 0.000000e+00 1.031469e+00 3.211043e-01
1.405408e+03 0.000000e+00 1.068781e+00 3.268603e-01
1.405420e+03 0.000000e+00 1.008178e+00 3.174581e-01
1.405432e+03 0.000000e+00 1.158481e+00 3.403003e-01
1.405444e+03 0.000000e+00 1.187488e+00 3.445343e-01
1.405456e+03 0.000000e+00 8.789994e-01 2.964232e-01
1.405468e+03 0.000000e+00 9.601399e-01 3.098027e-01
1.405480e+03 0.000000e+00 1.242914e+00 3.524833e-01
1.405492e+03 0.000000e+00 1.035764e+00 3.217720e-01
1.405504e+03 0.000000e+00 9.831993e-01 3.135008e-01
1.405516e+03 0.000000e+00 9.452157e-01 3.073855e-01
1.405528e+03 0.000000e+00 1.065128e+00 3.263013e-01
1.405540e+03 0.000000e+00 1.183811e+00 3.440005e-01
1.405552e+03 0.000000e+00 9.320345e-01 3.052347e-01
1.405564e+03 0.000000e+00 9.458780e-01 3.074932e-01
1.405576e+03 0.000000e+00 9.418133e-01 3.068318e-01
1.405588e+03 0.000000e+00 9.337952e-01 3.055229e-01
1.405600e+03 0.000000e+00 9.693840e-01 3.112905e-01
1.405612e+03 0.000000e+00 1.126562e+00 3.355795e-01
1.405624e+03 0.000000e+00 9.422298e-01 3.068996e-01
1.405636e+03 0.000000e+00 1.145154e+00 3.383373e-01
1.405648e+03 0.000000e+00 1.059677e+00 3.254653e-01
1.405660e+03 0.000000e+00 9.487788e-01 3.079643e-01
1.405672e+03 0.000000e+00 8.291743e-01 2.878994e-01
1.405684e+03 0.000000e+00 9.027183e-01 3.003959e-01
1.405696e+03 0.000000e+00 9.425741e-01 3.069557e-01
1.405708e+03 0.000000e+00 9.876444e-01 3.142087e-01
1.405720e+03 0.000000e+00 9.133899e-01 3.021663e-01
1.405732e+03 0.000000e+00 9.982604e-01 3.158929e-01
1.405744e+03 0.000000e+00 1.085403e+00 3.293923e-01
1.405756e+03 0.000000e+00 8.696525e-01 2.948430e-01
1.405768e+03 0.000000e+00 1.083370e+00 3.290836e-01
1.405780e+03 0.000000e+00 9.644999e-01 3.105053e-01
