# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 7.363411e-01 2.703887e-01
1.150010e+03 0.000000e+00 7.299730e-01 2.692170e-01
1.150020e+03 0.000000e+00 1.000921e+00 3.152455e-01
1.150030e+03 0.000000e+00 8.997522e-01 2.988894e-01
1.150040e+03 0.000000e+00 9.125941e-01 3.010148e-01
1.150050e+03 0.000000e+00 7.887502e-01 2.798458e-01
1.150060e+03 0.000000e+00 1.078996e+00 3.273098e-01
1.150070e+03 0.000000e+00 8.361222e-01 2.881270e-01
1.150080e+03 0.000000e+00 8.777029e-01 2.952044e-01
1.150090e+03 0.000000e+00 9.489573e-01 3.069534e-01
1.150100e+03 0.000000e+00 9.669780e-01 3.098542e-01
1.150110e+03 0.000000e+00 1.076300e+00 3.269006e-01
1.150120e+03 0.000000e+00 9.147346e-01 3.013676e-01
1.150130e+03 0.000000e+00 1.003226e+00 3.156083e-01
1.150140e+03 0.000000e+00 1.022924e+00 3.186918e-01
1.150150e+03 0.000000e+00 9.651504e-01 3.095612e-01
1.150160e+03 0.000000e+00 9.492693e-01 3.070038e-01
1.150170e+03 0.000000e+00 7.657883e-01 2.757423e-01
1.150180e+03 0.000000e+00 1.005135e+00 3.159085e-01
1.150190e+03 0.000000e+00 8.349018e-01 2.879166e-01
1.150200e+03 0.000000e+00 9.445855e-01 3.062455e-01
1.150210e+03 0.000000e+00 1.170074e+00 3.408441e-01
1.150220e+03 0.000000e+00 7.800565e-01 2.782993e-01
1.150230e+03 0.000000e+00 1.025386e+00 3.190750e-01
1.150240e+03 0.000000e+00 9.569894e-01 3.082497e-01
1.150250e+03 0.000000e+00 1.075143e+00 3.267249e-01
1.150260e+03 0.000000e+00 1.076714e+00 3.269635e-01
1.150270e+03 0.000000e+00 9.545732e-01 3.078603e-01
1.150280e+03 0.000000e+00 9.886076e-01 3.133005e-01
1.150290e+03 0.000000e+00 9.145198e-01 3.013323e-01
1.150300e+03 0.000000e+00 1.010446e+00 3.167420e-01
1.150310e+03 0.000000e+00 9.163379e-01 3.016316e-01
1.150320e+03 0.000000e+00 9.179460e-01 3.018962e-01
1.150330e+03 0.000000e+00 1.059055e+00 3.242712e-01
1.150340e+03 0.000000e+00 9.998094e-01 3.150705e-01
1.150350e+03 0.000000e+00 9.551388e-01 3.079515e-01
1.150360e+03 0.000000e+00 1.013968e+00 3.172935e-01
1.150370e+03 0.000000e+00 6.489658e-01 2.538400e-01
1.150380e+03 0.000000e+00 1.007096e+00 3.162164e-01
1.150390e+03 0.000000e+00 1.193801e+00 3.442826e-01
1.150400e+03 0.000000e+00 1.049561e+00 3.228144e-01
1.150410e+03 0.000000e+00 1.009528e+00 3.165981e-01
1.150420e+03 0.000000e+00 9.168732e-01 3.017197e-01
1.150430e+03 0.000000e+00 1.122997e+00 3.339169e-01
1.150440e+03 0.000000e+00 8.850220e-01 2.964327e-01
1.150450e+03 0.000000e+00 8.828439e-01 2.960677e-01
1.150460e+03 0.000000e+00 1.012452e+00 3.170563e-01
1.150470e+03 0.000000e+00 1.074895e+00 3.266872e-01
1.150480e+03 0.000000e+00 9.885383e-01 3.132895e-01
1.150490e+03 0.000000e+00 8.963626e-01 2.983259e-01
1.150500e+03 0.000000e+00 1.147073e+00 3.374773e-01
1.150510e+03 0.000000e+00 9.126599e-01 3.010257e-01
1.150520e+03 0.000000e+00 1.004478e+00 3.158053e-01
1.150530e+03 0.000000e+00 8.025314e-01 2.822800e-01
1.150540e+03 0.000000e+00 9.481992e-01 3.068307e-01
1.150550e+03 0.000000e+00 8.517939e-01 2.908147e-01
1.150560e+03 0.000000e+00 9.717607e-01 3.106195e-01
1.150570e+03 0.000000e+00 1.159823e+00 3.393477e-01
1.150580e+03 0.000000e+00 9.025217e-01 2.993491e-01
1.150590e+03 0.000000e+00 1.020273e+00 3.182785e-01
1.150600e+03 0.000000e+00 7.823691e-01 2.787115e-01
1.150610e+03 0.000000e+00 9.972676e-01 3.146697e-01
1.150620e+03 0.000000e+00 1.147278e+00 3.375074e-01
1.150630e+03 0.000000e+00 1.019491e+00 3.181565e-01
1.150640e+03 0.000000e+00 1.064891e+00 3.251634e-01
1.150650e+03 0.000000e+00 9.530475e-01 3.076142e-01
1.150660e+03 0.000000e+00 9.321255e-01 3.042190e-01
1.150670e+03 0.000000e+00 1.081026e+00 3.276175e-01
1.150680e+03 0.000000e+00 9.689923e-01 3.101767e-01
1.150690e+03 0.000000e+00 9.935308e-01 3.140796e-01
1.150700e+03 0.000000e+00 1.015514e+00 3.175353e-01
1.150710e+03 0.000000e+00 9.797494e-01 3.118937e-01
1.150720e+03 0.000000e+00 1.015952e+00 3.176038e-01
1.150730e+03 0.000000e+00 9.712519e-01 3.105382e-01
1.150740e+03 0.000000e+00 1.167269e+00 3.404353e-01
1.150750e+03 0.000000e+00 1.109341e+00 3.318804e-01
1.150760e+03 0.000000e+00 9.850131e-01 3.127304e-01
1.150770e+03 0.000000e+00 9.321767e-01 3.042273e-01
1.150780e+03 0.000000e+00 1.068643e+00 3.257358e-01
1.150790e+03 0.000000e+00 8.895575e-01 2.971913e-01
1.150800e+03 0.000000e+00 9.651460e-01 3.095605e-01
1.150810e+03 0.000000e+00 9.498572e-01 3.070989e-01
1.150820e+03 0.000000e+00 9.829545e-01 3.124034e-01
1.150830e+03 0.000000e+00 1.110153e+00 3.320019e-01
1.150840e+03 0.000000e+00 7.929174e-01 2.805841e-01
1.150850e+03 0.000000e+00 9.430594e-01 3.059980e-01
1.150860e+03 0.000000e+00 8.981581e-01 2.986245e-01
1.150870e+03 0.000000e+00 8.757321e-01 2.948728e-01
1.150880e+03 0.000000e+00 8.665127e-01 2.933165e-01
1.150890e+03 0.000000e+00 8.625986e-01 2.926533e-01
1.150900e+03 0.000000e+00 9.189115e-01 3.020549e-01
1.150910e+03 0.000000e+00 9.858448e-01 3.128624e-01
1.150920e+03 0.000000e+00 9.031812e-01 2.994584e-01
1.150930e+03 0.000000e+00 9.993763e-01 3.150022e-01
1.150940e+03 0.000000e+00 9.728855e-01 3.107992e-01
1.150950e+03 0.000000e+00 1.044477e+00 3.220316e-01
1.150960e+03 0.000000e+00 9.660743e-01 3.097094e-01
1.150970e+03 0.000000e+00 9.838355e-01 3.125434e-01
1.150980e+03 0.000000e+00 1.006232e+00 3.160808e-01
1.150990e+03 0.000000e+00 9.939529e-01 3.141463e-01
1.151000e+03 0.000000e+00 1.028950e+00 3.196290e-01
1.151010e+03 0.000000e+00 9.191960e-01 3.021017e-01
1.151020e+03 0.000000e+00 1.093709e+00 3.295338e-01
1.151030e+03 0.000000e+00 1.026920e+00 3.193136e-01
1.151040e+03 0.000000e+00 8.664068e-01 2.932986e-01
1.151050e+03 0.000000e+00 9.656073e-01 3.096345e-01
1.151060e+03 0.000000e+00 1.022124e+00 3.185671e-01
1.151070e+03 0.000000e+00 8.619929e-01 2.925505e-01
1.151080e+03 0.000000e+00 1.086383e+00 3.284283e-01
1.151090e+03 0.000000e+00 1.081107e+00 3.276297e-01
1.151100e+03 0.000000e+00 1.181087e+00 3.424443e-01
1.151110e+03 0.000000e+00 8.625306e-01 2.926418e-01
1.151120e+03 0.000000e+00 1.048014e+00 3.225764e-01
1.151130e+03 0.000000e+00 9.524345e-01 3.075152e-01
1.151140e+03 0.000000e+00 8.827293e-01 2.960485e-01
1.151150e+03 0.000000e+00 1.071915e+00 3.262340e-01
1.151160e+03 0.000000e+00 1.107945e+00 3.316715e-01
1.151170e+03 0.000000e+00 9.848071e-01 3.126977e-01
1.151180e+03 0.000000e+00 9.592139e-01 3.086077e-01
1.151190e+03 0.000000e+00 1.030382e+00 3.198513e-01
1.151200e+03 0.000000e+00 9.837084e-01 3.125232e-01
1.151210e+03 0.000000e+00 8.764120e-01 2.949872e-01
1.151220e+03 0.000000e+00 9.554681e-01 3.080046e-01
1.151230e+03 0.000000e+00 9.811416e-01 3.121152e-01
1.151240e+03 0.000000e+00 9.875774e-01 3.131372e-01
1.151250e+03 0.000000e+00 1.044821e+00 3.220846e-01
1.151260e+03 0.000000e+00 1.020397e+00 3.182977e-01
1.151270e+03 0.000000e+00 1.104350e+00 3.311330e-01
1.151280e+03 0.000000e+00 1.057114e+00 3.239738e-01
1.151290e+03 0.000000e+00 9.528940e-01 3.075894e-01
1.151300e+03 0.000000e+00 9.829101e-01 3.123964e-01
1.151310e+03 0.000000e+00 9.810170e-01 3.120954e-01
1.151320e+03 0.000000e+00 1.196289e+00 3.446412e-01
1.151330e+03 0.000000e+00 8.840712e-01 2.962734e-01
1.151340e+03 0.000000e+00 1.022656e+00 3.186500e-01
1.151350e+03 0.000000e+00 1.111533e+00 3.322082e-01
1.151360e+03 0.000000e+00 1.293735e+00 3.584031e-01
1.151370e+03 0.000000e+00 9.289099e-01 3.036938e-01
1.151380e+03 0.000000e+00 1.178491e+00 3.420678e-01
1.151390e+03 0.000000e+00 9.296390e-01 3.038129e-01
1.151400e+03 0.000000e+00 9.605752e-01 3.088266e-01
1.151410e+03 0.000000e+00 9.904494e-01 3.135922e-01
1.151420e+03 0.000000e+00 8.573340e-01 2.917589e-01
1.151430e+03 0.000000e+00 8.877385e-01 2.968873e-01
1.151440e+03 0.000000e+00 9.337048e-01 3.044766e-01
1.151450e+03 0.000000e+00 1.047231e+00 3.224559e-01
1.151460e+03 0.000000e+00 8.401382e-01 2.888181e-01
1.151470e+03 0.000000e+00 9.818996e-01 3.122357e-01
1.151480e+03 0.000000e+00 9.851590e-01 3.127535e-01
1.151490e+03 0.000000e+00 1.126102e+00 3.343781e-01
1.151500e+03 0.000000e+00 1.007074e+00 3.162130e-01
1.151510e+03 0.000000e+00 8.742177e-01 2.946177e-01
1.151520e+03 0.000000e+00 9.751192e-01 3.111558e-01
1.151530e+03 0.000000e+00 1.114484e+00 3.326488e-01
1.151540e+03 0.000000e+00 1.065860e+00 3.253113e-01
