# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 5.928133e-01 2.433812e-01
1.405012e+03 0.000000e+00 6.069317e-01 2.462624e-01
1.405024e+03 0.000000e+00 8.220660e-01 2.866035e-01
1.405036e+03 0.000000e+00 9.220546e-01 3.035334e-01
1.405048e+03 0.000000e+00 6.472637e-01 2.543131e-01
1.405060e+03 0.000000e+00 8.961991e-01 2.992474e-01
1.405072e+03 0.000000e+00 7.767744e-01 2.785964e-01
1.405084e+03 0.000000e+00 9.237077e-01 3.038053e-01
1.405096e+03 0.000000e+00 8.232298e-01 2.868063e-01
1.405108e+03 0.000000e+00 9.369993e-01 3.059833e-01
1.405120e+03 0.000000e+00 1.009244e+00 3.175603e-01
1.405132e+03 0.000000e+00 9.799665e-01 3.129203e-01
1.405144e+03 0.000000e+00 8.093985e-01 2.843867e-01
1.405156e+03 0.000000e+00 1.038945e+00 3.221992e-01
1.405168e+03 0.000000e+00 1.031035e+00 3.209703e-01
1.405180e+03 0.000000e+00 8.222554e-01 2.866365e-01
1.405192e+03 0.000000e+00 1.056944e+00 3.249782e-01
1.405204e+03 0.000000e+00 1.089271e+00 3.299104e-01
1.405216e+03 0.000000e+00 7.389349e-01 2.717260e-01
1.405228e+03 0.000000e+00 1.032065e+00 3.211306e-01
1.405240e+03 0.000000e+00 7.788992e-01 2.789772e-01
1.405252e+03 0.000000e+00 9.283341e-01 3.045652e-01
1.405264e+03 0.000000e+00 9.830411e-01 3.134108e-01
1.405276e+03 0.000000e+00 9.918485e-01 3.148117e-01
1.405288e+03 0.000000e+00 9.365149e-01 3.059042e-01
1.405300e+03 0.000000e+00 7.980156e-01 2.823799e-01
1.405312e+03 0.000000e+00 8.902584e-01 2.982539e-01
1.405324e+03 0.000000e+00 9.932871e-01 3.150399e-01
1.405336e+03 0.000000e+00 1.015697e+00 3.185739e-01
1.405348e+03 0.000000e+00 1.011930e+00 3.179827e-01
1.405360e+03 0.000000e+00 9.606868e-01 3.098268e-01
1.405372e+03 0.000000e+00 1.001694e+00 3.163703e-01
1.405384e+03 0.000000e+00 9.243480e-01 3.039106e-01
1.405396e+03 0.000000e+00 9.286196e-01 3.046120e-01
1.405408e+03 0.000000e+00 9.976652e-01 3.157334e-01
1.405420e+03 0.000000e+00 1.044281e+00 3.230255e-01
1.405432e+03 0.000000e+00 9.610474e-01 3.098850e-01
1.405444e+03 0.000000e+00 1.048210e+00 3.236326e-01
1.405456e+03 0.000000e+00 9.886313e-01 3.143007e-01
1.405468e+03 0.000000e+00 9.438899e-01 3.071063e-01
1.405480e+03 0.000000e+00 8.155415e-01 2.854639e-01
1.405492e+03 0.000000e+00 1.036142e+00 3.217642e-01
1.405504e+03 0.000000e+00 1.036400e+00 3.218042e-01
1.405516e+03 0.000000e+00 9.334030e-01 3.053956e-01
1.405528e+03 0.000000e+00 1.023485e+00 3.197930e-01
1.405540e+03 0.000000e+00 9.915451e-01 3.147635e-01
1.405552e+03 0.000000e+00 9.982184e-01 3.158209e-01
1.405564e+03 0.000000e+00 1.007660e+00 3.173110e-01
1.405576e+03 0.000000e+00 9.705990e-01 3.114211e-01
1.405588e+03 0.000000e+00 9.247279e-01 3.039731e-01
1.405600e+03 0.000000e+00 1.192629e+00 3.452080e-01
1.405612e+03 0.000000e+00 1.018132e+00 3.189556e-01
1.405624e+03 0.000000e+00 1.038393e+00 3.221135e-01
1.405636e+03 0.000000e+00 1.136678e+00 3.370131e-01
1.405648e+03 0.000000e+00 1.078721e+00 3.283089e-01
1.405660e+03 0.000000e+00 8.833585e-01 2.970959e-01
1.405672e+03 0.000000e+00 1.067609e+00 3.266136e-01
1.405684e+03 0.000000e+00 8.890527e-01 2.980519e-01
1.405696e+03 0.000000e+00 9.464681e-01 3.075255e-01
1.405708e+03 0.000000e+00 1.211951e+00 3.479931e-01
1.405720e+03 0.000000e+00 9.512118e-01 3.082952e-01
1.405732e+03 0.000000e+00 1.108977e+00 3.328812e-01
1.405744e+03 0.000000e+00 1.011690e+00 3.179449e-01
1.405756e+03 0.000000e+00 9.379809e-01 3.061436e-01
1.405768e+03 0.000000e+00 8.458590e-01 2.907215e-01
1.405780e+03 0.000000e+00 9.167504e-01 3.026591e-01
1.405792e+03 0.000000e+00 9.221090e-01 3.035423e-01
1.405804e+03 0.000000e+00 9.928590e-01 3.149720e-01
1.405816e+03 0.000000e+00 1.123183e+00 3.350066e-01
1.405828e+03 0.000000e+00 1.049720e+00 3.238657e-01
1.405840e+03 0.000000e+00 8.102039e-01 2.845282e-01
1.405852e+03 0.000000e+00 1.000534e+00 3.161871e-01
1.405864e+03 0.000000e+00 9.470245e-01 3.076159e-01
1.405876e+03 0.000000e+00 8.414912e-01 2.899699e-01
1.405888e+03 0.000000e+00 1.019913e+00 3.192344e-01
1.405900e+03 0.000000e+00 1.185940e+00 3.442386e-01
1.405912e+03 0.000000e+00 1.040457e+00 3.224335e-01
1.405924e+03 0.000000e+00 9.042456e-01 3.005878e-01
1.405936e+03 0.000000e+00 8.580118e-01 2.928025e-01
1.405948e+03 0.000000e+00 1.170174e+00 3.419427e-01
1.405960e+03 0.000000e+00 9.927751e-01 3.149587e-01
1.405972e+03 0.000000e+00 1.109972e+00 3.330307e-01
1.405984e+03 0.000000e+00 1.057945e+00 3.251320e-01
1.405996e+03 0.000000e+00 1.115848e+00 3.339110e-01
1.406008e+03 0.000000e+00 9.107777e-01 3.016715e-01
1.406020e+03 0.000000e+00 9.262376e-01 3.042211e-01
1.406032e+03 0.000000e+00 1.037898e+00 3.220367e-01
1.406044e+03 0.000000e+00 1.112246e+00 3.333716e-01
1.406056e+03 0.000000e+00 9.736154e-01 3.119046e-01
1.406068e+03 0.000000e+00 9.672844e-01 3.108889e-01
1.406080e+03 0.000000e+00 9.595170e-01 3.096382e-01
1.406092e+03 0.000000e+00 9.309120e-01 3.049878e-01
1.406104e+03 0.000000e+00 1.152772e+00 3.393906e-01
1.406116e+03 0.000000e+00 1.209272e+00 3.476083e-01
1.406128e+03 0.000000e+00 1.138023e+00 3.372125e-01
1.406140e+03 0.000000e+00 1.162830e+00 3.408680e-01
1.406152e+03 0.000000e+00 1.004118e+00 3.167528e-01
1.406164e+03 0.000000e+00 1.096732e+00 3.310385e-01
1.406176e+03 0.000000e+00 1.071252e+00 3.271703e-01
1.406188e+03 0.000000e+00 9.329298e-01 3.053181e-01
1.406200e+03 0.000000e+00 1.202627e+00 3.466519e-01
1.406212e+03 0.000000e+00 8.669014e-01 2.943154e-01
1.406224e+03 0.000000e+00 1.068952e+00 3.268190e-01
1.406236e+03 0.000000e+00 1.018834e+00 3.190655e-01
1.406248e+03 0.000000e+00 1.019276e+00 3.191346e-01
1.406260e+03 0.000000e+00 8.608290e-01 2.932828e-01
1.406272e+03 0.000000e+00 1.058554e+00 3.252255e-01
1.406284e+03 0.000000e+00 1.227097e+00 3.501608e-01
1.406296e+03 0.000000e+00 8.580199e-01 2.928039e-01
1.406308e+03 0.000000e+00 1.102944e+00 3.319745e-01
1.406320e+03 0.000000e+00 9.427280e-01 3.069173e-01
1.406332e+03 0.000000e+00 1.074939e+00 3.277329e-01
1.406344e+03 0.000000e+00 1.193151e+00 3.452836e-01
1.406356e+03 0.000000e+00 8.411802e-01 2.899163e-01
1.406368e+03 0.000000e+00 1.035455e+00 3.216576e-01
1.406380e+03 0.000000e+00 8.601789e-01 2.931720e-01
1.406392e+03 0.000000e+00 9.742277e-01 3.120027e-01
1.406404e+03 0.000000e+00 1.035571e+00 3.216756e-01
1.406416e+03 0.000000e+00 9.998441e-01 3.160780e-01
1.406428e+03 0.000000e+00 9.541946e-01 3.087782e-01
1.406440e+03 0.000000e+00 9.944174e-01 3.152191e-01
1.406452e+03 0.000000e+00 9.290710e-01 3.046861e-01
1.406464e+03 0.000000e+00 9.559320e-01 3.090592e-01
1.406476e+03 0.000000e+00 8.009789e-01 2.829037e-01
1.406488e+03 0.000000e+00 8.581441e-01 2.928251e-01
1.406500e+03 0.000000e+00 9.141432e-01 3.022284e-01
1.406512e+03 0.000000e+00 1.105765e+00 3.323989e-01
1.406524e+03 0.000000e+00 8.809047e-01 2.966830e-01
1.406536e+03 0.000000e+00 1.065374e+00 3.262715e-01
1.406548e+03 0.000000e+00 9.542652e-01 3.087896e-01
1.406560e+03 0.000000e+00 1.191630e+00 3.450633e-01
1.406572e+03 0.000000e+00 1.098683e+00 3.313328e-01
1.406584e+03 0.000000e+00 1.062740e+00 3.258679e-01
1.406596e+03 0.000000e+00 1.043292e+00 3.228724e-01
1.406608e+03 0.000000e+00 1.008513e+00 3.174453e-01
1.406620e+03 0.000000e+00 1.176215e+00 3.428242e-01
1.406632e+03 0.000000e+00 8.189317e-01 2.860566e-01
1.406644e+03 0.000000e+00 9.567280e-01 3.091878e-01
1.406656e+03 0.000000e+00 9.637508e-01 3.103205e-01
1.406668e+03 0.000000e+00 8.028770e-01 2.832387e-01
1.406680e+03 0.000000e+00 1.225364e+00 3.499134e-01
1.406692e+03 0.000000e+00 1.101953e+00 3.318254e-01
1.406704e+03 0.000000e+00 8.720203e-01 2.951831e-01
1.406716e+03 0.000000e+00 9.840158e-01 3.135661e-01
1.406728e+03 0.000000e+00 1.083711e+00 3.290675e-01
1.406740e+03 0.000000e+00 1.042896e+00 3.228111e-01
1.406752e+03 0.000000e+00 1.193112e+00 3.452778e-01
1.406764e+03 0.000000e+00 1.059121e+00 3.253126e-01
1.406776e+03 0.000000e+00 1.129439e+00 3.359382e-01
1.406788e+03 0.000000e+00 9.772833e-01 3.124916e-01
1.406800e+03 0.000000e+00 1.029690e+00 3.207608e-01
1.406812e+03 0.000000e+00 9.861443e-01 3.139051e-01
1.406824e+03 0.000000e+00 9.578857e-01 3.093748e-01
1.406836e+03 0.000000e+00 1.011361e+00 3.178931e-01
1.406848e+03 0.000000e+00 9.191956e-01 3.030624e-01
1.406860e+03 0.000000e+00 1.172912e+00 3.423425e-01
1.406872e+03 0.000000e+00 1.013291e+00 3.181963e-01
1.406884e+03 0.000000e+00 1.039758e+00 3.223252e-01
1.406896e+03 0.000000e+00 1.256230e+00 3.542931e-01
1.406908e+03 0.000000e+00 7.822606e-01 2.795786e-01
1.406920e+03 0.000000e+00 1.078075e+00 3.282106e-01
1.406932e+03 0.000000e+00 1.086021e+00 3.294179e-01
