# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 7.127037e-01 2.670287e-01
1.150010e+03 0.000000e+00 7.798990e-01 2.793332e-01
1.150020e+03 0.000000e+00 8.069704e-01 2.841399e-01
1.150030e+03 0.000000e+00 8.331908e-01 2.887191e-01
1.150040e+03 0.000000e+00 7.515982e-01 2.742182e-01
1.150050e+03 0.000000e+00 1.053566e+00 3.246641e-01
1.150060e+03 0.000000e+00 7.826971e-01 2.798338e-01
1.150070e+03 0.000000e+00 8.797996e-01 2.966848e-01
1.150080e+03 0.000000e+00 9.742070e-01 3.121972e-01
1.150090e+03 0.000000e+00 7.688074e-01 2.773398e-01
1.150100e+03 0.000000e+00 8.050257e-01 2.837973e-01
1.150110e+03 0.000000e+00 9.483047e-01 3.080189e-01
1.150120e+03 0.000000e+00 9.435300e-01 3.072424e-01
1.150130e+03 0.000000e+00 9.431669e-01 3.071833e-01
1.150140e+03 0.000000e+00 9.748871e-01 3.123061e-01
1.150150e+03 0.000000e+00 1.104840e+00 3.324704e-01
1.150160e+03 0.000000e+00 1.079394e+00 3.286195e-01
1.150170e+03 0.000000e+00 8.269108e-01 2.876290e-01
1.150180e+03 0.000000e+00 8.796573e-01 2.966608e-01
1.150190e+03 0.000000e+00 9.925458e-01 3.151219e-01
1.150200e+03 0.000000e+00 8.442119e-01 2.906224e-01
1.150210e+03 0.000000e+00 9.257289e-01 3.043304e-01
1.150220e+03 0.000000e+00 9.153484e-01 3.026193e-01
1.150230e+03 0.000000e+00 8.497605e-01 2.915759e-01
1.150240e+03 0.000000e+00 8.779478e-01 2.963724e-01
1.150250e+03 0.000000e+00 1.148784e+00 3.390178e-01
1.150260e+03 0.000000e+00 1.085818e+00 3.295960e-01
1.150270e+03 0.000000e+00 1.156461e+00 3.401488e-01
1.150280e+03 0.000000e+00 8.803640e-01 2.967799e-01
1.150290e+03 0.000000e+00 9.871325e-01 3.142614e-01
1.150300e+03 0.000000e+00 9.918762e-01 3.150156e-01
1.150310e+03 0.000000e+00 9.776950e-01 3.127556e-01
1.150320e+03 0.000000e+00 1.080780e+00 3.288305e-01
1.150330e+03 0.000000e+00 9.077086e-01 3.013537e-01
1.150340e+03 0.000000e+00 7.505273e-01 2.740227e-01
1.150350e+03 0.000000e+00 9.418798e-01 3.069736e-01
1.150360e+03 0.000000e+00 1.012914e+00 3.183388e-01
1.150370e+03 0.000000e+00 1.089215e+00 3.301112e-01
1.150380e+03 0.000000e+00 9.205771e-01 3.034824e-01
1.150390e+03 0.000000e+00 8.580128e-01 2.929883e-01
1.150400e+03 0.000000e+00 8.854330e-01 2.976331e-01
1.150410e+03 0.000000e+00 1.014250e+00 3.185487e-01
1.150420e+03 0.000000e+00 1.044113e+00 3.232044e-01
1.150430e+03 0.000000e+00 9.554827e-01 3.091824e-01
1.150440e+03 0.000000e+00 1.126298e+00 3.356835e-01
1.150450e+03 0.000000e+00 9.040125e-01 3.007396e-01
1.150460e+03 0.000000e+00 1.046820e+00 3.236229e-01
1.150470e+03 0.000000e+00 9.840090e-01 3.137638e-01
1.150480e+03 0.000000e+00 1.015410e+00 3.187308e-01
1.150490e+03 0.000000e+00 1.023412e+00 3.199843e-01
1.150500e+03 0.000000e+00 1.058448e+00 3.254154e-01
1.150510e+03 0.000000e+00 9.363390e-01 3.060694e-01
1.150520e+03 0.000000e+00 8.261053e-01 2.874889e-01
1.150530e+03 0.000000e+00 9.045870e-01 3.008351e-01
1.150540e+03 0.000000e+00 1.167296e+00 3.417384e-01
1.150550e+03 0.000000e+00 9.419451e-01 3.069843e-01
1.150560e+03 0.000000e+00 9.426223e-01 3.070946e-01
1.150570e+03 0.000000e+00 8.224983e-01 2.868606e-01
