# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 6.222060e-01 2.499105e-01
1.150010e+03 0.000000e+00 6.650625e-01 2.583738e-01
1.150020e+03 0.000000e+00 8.774582e-01 2.967772e-01
1.150030e+03 0.000000e+00 7.719537e-01 2.783639e-01
1.150040e+03 0.000000e+00 8.099838e-01 2.851383e-01
1.150050e+03 0.000000e+00 6.759383e-01 2.604779e-01
1.150060e+03 0.000000e+00 1.067012e+00 3.272669e-01
1.150070e+03 0.000000e+00 9.687707e-01 3.118371e-01
1.150080e+03 0.000000e+00 7.829103e-01 2.803324e-01
1.150090e+03 0.000000e+00 8.415890e-01 2.906480e-01
1.150100e+03 0.000000e+00 1.123122e+00 3.357614e-01
1.150110e+03 0.000000e+00 8.602401e-01 2.938510e-01
1.150120e+03 0.000000e+00 9.420420e-01 3.075052e-01
1.150130e+03 0.000000e+00 9.912069e-01 3.154274e-01
1.150140e+03 0.000000e+00 9.702551e-01 3.120759e-01
1.150150e+03 0.000000e+00 9.554011e-01 3.096779e-01
1.150160e+03 0.000000e+00 8.035331e-01 2.840006e-01
1.150170e+03 0.000000e+00 1.078159e+00 3.289718e-01
1.150180e+03 0.000000e+00 1.004889e+00 3.175970e-01
1.150190e+03 0.000000e+00 1.082541e+00 3.296396e-01
1.150200e+03 0.000000e+00 9.439783e-01 3.078211e-01
1.150210e+03 0.000000e+00 9.113128e-01 3.024482e-01
1.150220e+03 0.000000e+00 9.013023e-01 3.007825e-01
1.150230e+03 0.000000e+00 7.622731e-01 2.766130e-01
1.150240e+03 0.000000e+00 1.010873e+00 3.185411e-01
1.150250e+03 0.000000e+00 1.061012e+00 3.263453e-01
1.150260e+03 0.000000e+00 9.629849e-01 3.109045e-01
1.150270e+03 0.000000e+00 7.872372e-01 2.811060e-01
1.150280e+03 0.000000e+00 1.042717e+00 3.235196e-01
1.150290e+03 0.000000e+00 1.123474e+00 3.358140e-01
1.150300e+03 0.000000e+00 9.351988e-01 3.063863e-01
1.150310e+03 0.000000e+00 9.505545e-01 3.088914e-01
1.150320e+03 0.000000e+00 8.705851e-01 2.956126e-01
1.150330e+03 0.000000e+00 1.164255e+00 3.418545e-01
1.150340e+03 0.000000e+00 8.918596e-01 2.992027e-01
1.150350e+03 0.000000e+00 1.079684e+00 3.292044e-01
1.150360e+03 0.000000e+00 1.091338e+00 3.309764e-01
1.150370e+03 0.000000e+00 9.509304e-01 3.089525e-01
1.150380e+03 0.000000e+00 9.285884e-01 3.053015e-01
1.150390e+03 0.000000e+00 1.044022e+00 3.237220e-01
1.150400e+03 0.000000e+00 9.863055e-01 3.146466e-01
1.150410e+03 0.000000e+00 8.433047e-01 2.909441e-01
1.150420e+03 0.000000e+00 9.470890e-01 3.083278e-01
1.150430e+03 0.000000e+00 1.026385e+00 3.209760e-01
1.150440e+03 0.000000e+00 8.510814e-01 2.922825e-01
1.150450e+03 0.000000e+00 1.046482e+00 3.241031e-01
1.150460e+03 0.000000e+00 9.914504e-01 3.154662e-01
1.150470e+03 0.000000e+00 1.130196e+00 3.368171e-01
1.150480e+03 0.000000e+00 1.052264e+00 3.249972e-01
1.150490e+03 0.000000e+00 9.188452e-01 3.036956e-01
1.150500e+03 0.000000e+00 1.148853e+00 3.395858e-01
1.150510e+03 0.000000e+00 1.159703e+00 3.411856e-01
1.150520e+03 0.000000e+00 9.172607e-01 3.034336e-01
1.150530e+03 0.000000e+00 1.035807e+00 3.224457e-01
1.150540e+03 0.000000e+00 1.014096e+00 3.190487e-01
1.150550e+03 0.000000e+00 9.701545e-01 3.120598e-01
1.150560e+03 0.000000e+00 1.010693e+00 3.185128e-01
1.150570e+03 0.000000e+00 8.018180e-01 2.836973e-01
1.150580e+03 0.000000e+00 9.056375e-01 3.015050e-01
1.150590e+03 0.000000e+00 9.222249e-01 3.042536e-01
1.150600e+03 0.000000e+00 8.267111e-01 2.880675e-01
1.150610e+03 0.000000e+00 1.136174e+00 3.377068e-01
1.150620e+03 0.000000e+00 9.049251e-01 3.013864e-01
1.150630e+03 0.000000e+00 9.897851e-01 3.152011e-01
1.150640e+03 0.000000e+00 8.017441e-01 2.836842e-01
1.150650e+03 0.000000e+00 9.393498e-01 3.070655e-01
1.150660e+03 0.000000e+00 9.193537e-01 3.037796e-01
1.150670e+03 0.000000e+00 8.129794e-01 2.856650e-01
1.150680e+03 0.000000e+00 1.038958e+00 3.229359e-01
1.150690e+03 0.000000e+00 9.956022e-01 3.161260e-01
1.150700e+03 0.000000e+00 1.130247e+00 3.368247e-01
1.150710e+03 0.000000e+00 8.899208e-01 2.988773e-01
1.150720e+03 0.000000e+00 1.051090e+00 3.248158e-01
1.150730e+03 0.000000e+00 8.830083e-01 2.977143e-01
1.150740e+03 0.000000e+00 9.391152e-01 3.070271e-01
1.150750e+03 0.000000e+00 1.090437e+00 3.308398e-01
1.150760e+03 0.000000e+00 1.035269e+00 3.223621e-01
1.150770e+03 0.000000e+00 9.383425e-01 3.069008e-01
1.150780e+03 0.000000e+00 1.084682e+00 3.299655e-01
1.150790e+03 0.000000e+00 7.779795e-01 2.794482e-01
1.150800e+03 0.000000e+00 9.722298e-01 3.123933e-01
1.150810e+03 0.000000e+00 8.632041e-01 2.943568e-01
1.150820e+03 0.000000e+00 9.658785e-01 3.113713e-01
1.150830e+03 0.000000e+00 1.089184e+00 3.306495e-01
1.150840e+03 0.000000e+00 9.899554e-01 3.152282e-01
1.150850e+03 0.000000e+00 1.025055e+00 3.207679e-01
1.150860e+03 0.000000e+00 1.039299e+00 3.229889e-01
1.150870e+03 0.000000e+00 1.023658e+00 3.205493e-01
1.150880e+03 0.000000e+00 1.061701e+00 3.264514e-01
1.150890e+03 0.000000e+00 8.312847e-01 2.888632e-01
1.150900e+03 0.000000e+00 1.147064e+00 3.393214e-01
1.150910e+03 0.000000e+00 9.770162e-01 3.131614e-01
1.150920e+03 0.000000e+00 1.193050e+00 3.460562e-01
1.150930e+03 0.000000e+00 1.105477e+00 3.331134e-01
1.150940e+03 0.000000e+00 8.522996e-01 2.924916e-01
1.150950e+03 0.000000e+00 8.411337e-01 2.905694e-01
1.150960e+03 0.000000e+00 9.791968e-01 3.135106e-01
1.150970e+03 0.000000e+00 1.233823e+00 3.519198e-01
1.150980e+03 0.000000e+00 1.043068e+00 3.235740e-01
1.150990e+03 0.000000e+00 9.050114e-01 3.014008e-01
1.151000e+03 0.000000e+00 8.779187e-01 2.968551e-01
1.151010e+03 0.000000e+00 1.106066e+00 3.332021e-01
1.151020e+03 0.000000e+00 8.619575e-01 2.941442e-01
1.151030e+03 0.000000e+00 9.798619e-01 3.136171e-01
1.151040e+03 0.000000e+00 1.084340e+00 3.299135e-01
1.151050e+03 0.000000e+00 1.065348e+00 3.270115e-01
1.151060e+03 0.000000e+00 1.080107e+00 3.292690e-01
1.151070e+03 0.000000e+00 1.176286e+00 3.436163e-01
1.151080e+03 0.000000e+00 9.935154e-01 3.157945e-01
1.151090e+03 0.000000e+00 8.971162e-01 3.000832e-01
1.151100e+03 0.000000e+00 9.175946e-01 3.034889e-01
1.151110e+03 0.000000e+00 9.828328e-01 3.140922e-01
1.151120e+03 0.000000e+00 1.004992e+00 3.176132e-01
1.151130e+03 0.000000e+00 1.063090e+00 3.266648e-01
1.151140e+03 0.000000e+00 9.267911e-01 3.050059e-01
1.151150e+03 0.000000e+00 1.063626e+00 3.267471e-01
1.151160e+03 0.000000e+00 9.477441e-01 3.084344e-01
1.151170e+03 0.000000e+00 1.069735e+00 3.276842e-01
1.151180e+03 0.000000e+00 1.042979e+00 3.235601e-01
1.151190e+03 0.000000e+00 1.053644e+00 3.252102e-01
1.151200e+03 0.000000e+00 1.081627e+00 3.295004e-01
1.151210e+03 0.000000e+00 9.718469e-01 3.123318e-01
1.151220e+03 0.000000e+00 1.133395e+00 3.372935e-01
1.151230e+03 0.000000e+00 9.012913e-01 3.007807e-01
1.151240e+03 0.000000e+00 9.758050e-01 3.129672e-01
1.151250e+03 0.000000e+00 1.183474e+00 3.446646e-01
1.151260e+03 0.000000e+00 9.961138e-01 3.162072e-01
1.151270e+03 0.000000e+00 1.050750e+00 3.247634e-01
1.151280e+03 0.000000e+00 1.078003e+00 3.289481e-01
1.151290e+03 0.000000e+00 1.016357e+00 3.194042e-01
1.151300e+03 0.000000e+00 1.029488e+00 3.214607e-01
1.151310e+03 0.000000e+00 8.482512e-01 2.917961e-01
1.151320e+03 0.000000e+00 9.225172e-01 3.043018e-01
1.151330e+03 0.000000e+00 1.090926e+00 3.309138e-01
1.151340e+03 0.000000e+00 9.981680e-01 3.165331e-01
1.151350e+03 0.000000e+00 1.076411e+00 3.287051e-01
1.151360e+03 0.000000e+00 1.025230e+00 3.207952e-01
1.151370e+03 0.000000e+00 9.886174e-01 3.150152e-01
1.151380e+03 0.000000e+00 9.609452e-01 3.105751e-01
1.151390e+03 0.000000e+00 1.155971e+00 3.406362e-01
1.151400e+03 0.000000e+00 1.112598e+00 3.341846e-01
1.151410e+03 0.000000e+00 9.782885e-01 3.133652e-01
1.151420e+03 0.000000e+00 1.143958e+00 3.388615e-01
1.151430e+03 0.000000e+00 1.005235e+00 3.176517e-01
1.151440e+03 0.000000e+00 9.567313e-01 3.098934e-01
1.151450e+03 0.000000e+00 8.516504e-01 2.923802e-01
1.151460e+03 0.000000e+00 1.078969e+00 3.290955e-01
1.151470e+03 0.000000e+00 1.198746e+00 3.468813e-01
1.151480e+03 0.000000e+00 1.045492e+00 3.239498e-01
1.151490e+03 0.000000e+00 8.978995e-01 3.002142e-01
1.151500e+03 0.000000e+00 1.025196e+00 3.207899e-01
1.151510e+03 0.000000e+00 1.023389e+00 3.205071e-01
1.151520e+03 0.000000e+00 1.336645e+00 3.662903e-01
1.151530e+03 0.000000e+00 9.277384e-01 3.051617e-01
1.151540e+03 0.000000e+00 1.024816e+00 3.207305e-01
1.151550e+03 0.000000e+00 1.046762e+00 3.241465e-01
1.151560e+03 0.000000e+00 1.073099e+00 3.281990e-01
1.151570e+03 0.000000e+00 1.073798e+00 3.283058e-01
1.151580e+03 0.000000e+00 9.942253e-01 3.159073e-01
1.151590e+03 0.000000e+00 8.286318e-01 2.884019e-01
1.151600e+03 0.000000e+00 1.028001e+00 3.212285e-01
1.151610e+03 0.000000e+00 9.786004e-01 3.134152e-01
1.151620e+03 0.000000e+00 8.984938e-01 3.003135e-01
1.151630e+03 0.000000e+00 9.265399e-01 3.049646e-01
1.151640e+03 0.000000e+00 1.112917e+00 3.342325e-01
1.151650e+03 0.000000e+00 9.878719e-01 3.148963e-01
1.151660e+03 0.000000e+00 9.973107e-01 3.163971e-01
1.151670e+03 0.000000e+00 9.685065e-01 3.117946e-01
1.151680e+03 0.000000e+00 9.906070e-01 3.153320e-01
1.151690e+03 0.000000e+00 9.258862e-01 3.048570e-01
1.151700e+03 0.000000e+00 9.825199e-01 3.140422e-01
1.151710e+03 0.000000e+00 9.183947e-01 3.036211e-01
1.151720e+03 0.000000e+00 1.156385e+00 3.406972e-01
1.151730e+03 0.000000e+00 9.855243e-01 3.145220e-01
1.151740e+03 0.000000e+00 1.037368e+00 3.226887e-01
1.151750e+03 0.000000e+00 1.042551e+00 3.234938e-01
1.151760e+03 0.000000e+00 1.048891e+00 3.244759e-01
1.151770e+03 0.000000e+00 1.179763e+00 3.441238e-01
