# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 3.565417e-01 1.893771e-01
1.405012e+03 0.000000e+00 5.012136e-01 2.245348e-01
1.405024e+03 0.000000e+00 6.772206e-01 2.609981e-01
1.405036e+03 0.000000e+00 5.515867e-01 2.355478e-01
1.405048e+03 0.000000e+00 1.049207e+00 3.248649e-01
1.405060e+03 0.000000e+00 8.069454e-01 2.849012e-01
1.405072e+03 0.000000e+00 9.079661e-01 3.022088e-01
1.405084e+03 0.000000e+00 1.129161e+00 3.370158e-01
1.405096e+03 0.000000e+00 8.404453e-01 2.907548e-01
1.405108e+03 0.000000e+00 8.664416e-01 2.952174e-01
1.405120e+03 0.000000e+00 9.379515e-01 3.071584e-01
1.405132e+03 0.000000e+00 8.799776e-01 2.975144e-01
1.405144e+03 0.000000e+00 9.515224e-01 3.093725e-01
1.405156e+03 0.000000e+00 1.065119e+00 3.273190e-01
1.405168e+03 0.000000e+00 1.138466e+00 3.384015e-01
1.405180e+03 0.000000e+00 1.001112e+00 3.173318e-01
1.405192e+03 0.000000e+00 9.193761e-01 3.041017e-01
1.405204e+03 0.000000e+00 1.023637e+00 3.208819e-01
1.405216e+03 0.000000e+00 9.183238e-01 3.039276e-01
1.405228e+03 0.000000e+00 1.158978e+00 3.414364e-01
1.405240e+03 0.000000e+00 9.877056e-01 3.151998e-01
1.405252e+03 0.000000e+00 9.616943e-01 3.110217e-01
1.405264e+03 0.000000e+00 1.034783e+00 3.226242e-01
1.405276e+03 0.000000e+00 8.826238e-01 2.979614e-01
1.405288e+03 0.000000e+00 8.662397e-01 2.951830e-01
1.405300e+03 0.000000e+00 8.994283e-01 3.007845e-01
1.405312e+03 0.000000e+00 1.039394e+00 3.233421e-01
1.405324e+03 0.000000e+00 1.084260e+00 3.302471e-01
1.405336e+03 0.000000e+00 1.163570e+00 3.421121e-01
1.405348e+03 0.000000e+00 9.136477e-01 3.031528e-01
1.405360e+03 0.000000e+00 1.108120e+00 3.338610e-01
1.405372e+03 0.000000e+00 9.613604e-01 3.109678e-01
1.405384e+03 0.000000e+00 1.035251e+00 3.226970e-01
1.405396e+03 0.000000e+00 8.771475e-01 2.970356e-01
1.405408e+03 0.000000e+00 1.079757e+00 3.295605e-01
1.405420e+03 0.000000e+00 9.412835e-01 3.077035e-01
1.405432e+03 0.000000e+00 1.098752e+00 3.324468e-01
1.405444e+03 0.000000e+00 9.080386e-01 3.022208e-01
1.405456e+03 0.000000e+00 1.080749e+00 3.297120e-01
1.405468e+03 0.000000e+00 9.853631e-01 3.148259e-01
1.405480e+03 0.000000e+00 1.007761e+00 3.183838e-01
1.405492e+03 0.000000e+00 9.945397e-01 3.162884e-01
1.405504e+03 0.000000e+00 8.666007e-01 2.952445e-01
1.405516e+03 0.000000e+00 9.838631e-01 3.145861e-01
1.405528e+03 0.000000e+00 1.076754e+00 3.291020e-01
1.405540e+03 0.000000e+00 1.018623e+00 3.200951e-01
1.405552e+03 0.000000e+00 9.724452e-01 3.127554e-01
1.405564e+03 0.000000e+00 8.640378e-01 2.948076e-01
1.405576e+03 0.000000e+00 1.098559e+00 3.324175e-01
1.405588e+03 0.000000e+00 7.652162e-01 2.774370e-01
1.405600e+03 0.000000e+00 9.511156e-01 3.093064e-01
1.405612e+03 0.000000e+00 9.648550e-01 3.115324e-01
