# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 5.029194e-01 2.240608e-01
1.150010e+03 0.000000e+00 7.643216e-01 2.762198e-01
1.150020e+03 0.000000e+00 6.394905e-01 2.526584e-01
1.150030e+03 0.000000e+00 7.075602e-01 2.657654e-01
1.150040e+03 0.000000e+00 7.736027e-01 2.778918e-01
1.150050e+03 0.000000e+00 8.642033e-01 2.937140e-01
1.150060e+03 0.000000e+00 9.034906e-01 3.003160e-01
1.150070e+03 0.000000e+00 1.014797e+00 3.182777e-01
1.150080e+03 0.000000e+00 9.758231e-01 3.121061e-01
1.150090e+03 0.000000e+00 1.008220e+00 3.172446e-01
1.150100e+03 0.000000e+00 8.578820e-01 2.926378e-01
1.150110e+03 0.000000e+00 1.034855e+00 3.214078e-01
1.150120e+03 0.000000e+00 9.757757e-01 3.120985e-01
1.150130e+03 0.000000e+00 1.001442e+00 3.161765e-01
1.150140e+03 0.000000e+00 8.573197e-01 2.925419e-01
1.150150e+03 0.000000e+00 1.060297e+00 3.253347e-01
1.150160e+03 0.000000e+00 1.122684e+00 3.347692e-01
1.150170e+03 0.000000e+00 9.719850e-01 3.114917e-01
1.150180e+03 0.000000e+00 9.969597e-01 3.154681e-01
1.150190e+03 0.000000e+00 1.004159e+00 3.166051e-01
1.150200e+03 0.000000e+00 1.189499e+00 3.445868e-01
1.150210e+03 0.000000e+00 1.103651e+00 3.319193e-01
1.150220e+03 0.000000e+00 1.000497e+00 3.160272e-01
1.150230e+03 0.000000e+00 8.212642e-01 2.863243e-01
1.150240e+03 0.000000e+00 1.130379e+00 3.359144e-01
1.150250e+03 0.000000e+00 1.011246e+00 3.177203e-01
1.150260e+03 0.000000e+00 7.913892e-01 2.810682e-01
1.150270e+03 0.000000e+00 8.962582e-01 2.991116e-01
1.150280e+03 0.000000e+00 1.149990e+00 3.388159e-01
1.150290e+03 0.000000e+00 9.519805e-01 3.082696e-01
1.150300e+03 0.000000e+00 1.123189e+00 3.348444e-01
1.150310e+03 0.000000e+00 1.086966e+00 3.294008e-01
1.150320e+03 0.000000e+00 9.749558e-01 3.119674e-01
1.150330e+03 0.000000e+00 1.062406e+00 3.256581e-01
1.150340e+03 0.000000e+00 1.066709e+00 3.263169e-01
1.150350e+03 0.000000e+00 9.134023e-01 3.019588e-01
1.150360e+03 0.000000e+00 1.074420e+00 3.274943e-01
1.150370e+03 0.000000e+00 9.487799e-01 3.077510e-01
1.150380e+03 0.000000e+00 1.110339e+00 3.329236e-01
1.150390e+03 0.000000e+00 8.135914e-01 2.849836e-01
1.150400e+03 0.000000e+00 1.101149e+00 3.315429e-01
1.150410e+03 0.000000e+00 7.944162e-01 2.816052e-01
1.150420e+03 0.000000e+00 1.089802e+00 3.298303e-01
1.150430e+03 0.000000e+00 8.506071e-01 2.913944e-01
1.150440e+03 0.000000e+00 9.722880e-01 3.115402e-01
1.150450e+03 0.000000e+00 8.501651e-01 2.913187e-01
1.150460e+03 0.000000e+00 1.063439e+00 3.258164e-01
1.150470e+03 0.000000e+00 8.865174e-01 2.974817e-01
1.150480e+03 0.000000e+00 1.155630e+00 3.396457e-01
1.150490e+03 0.000000e+00 1.006858e+00 3.170302e-01
1.150500e+03 0.000000e+00 8.766090e-01 2.958146e-01
1.150510e+03 0.000000e+00 1.199522e+00 3.460356e-01
1.150520e+03 0.000000e+00 1.091121e+00 3.300298e-01
1.150530e+03 0.000000e+00 9.239514e-01 3.036975e-01
1.150540e+03 0.000000e+00 1.026967e+00 3.201806e-01
1.150550e+03 0.000000e+00 1.018265e+00 3.188210e-01
1.150560e+03 0.000000e+00 9.176131e-01 3.026540e-01
1.150570e+03 0.000000e+00 1.074059e+00 3.274392e-01
1.150580e+03 0.000000e+00 8.817417e-01 2.966794e-01
1.150590e+03 0.000000e+00 1.053140e+00 3.242349e-01
1.150600e+03 0.000000e+00 1.097806e+00 3.310392e-01
1.150610e+03 0.000000e+00 1.137349e+00 3.369485e-01
1.150620e+03 0.000000e+00 1.031848e+00 3.209405e-01
1.150630e+03 0.000000e+00 9.414869e-01 3.065659e-01
1.150640e+03 0.000000e+00 8.870384e-01 2.975691e-01
1.150650e+03 0.000000e+00 1.021792e+00 3.193728e-01
1.150660e+03 0.000000e+00 9.681761e-01 3.108808e-01
1.150670e+03 0.000000e+00 1.036048e+00 3.215931e-01
1.150680e+03 0.000000e+00 1.064047e+00 3.259096e-01
1.150690e+03 0.000000e+00 1.111814e+00 3.331446e-01
1.150700e+03 0.000000e+00 7.371825e-01 2.712715e-01
1.150710e+03 0.000000e+00 9.687389e-01 3.109711e-01
1.150720e+03 0.000000e+00 9.412635e-01 3.065295e-01
1.150730e+03 0.000000e+00 1.009531e+00 3.174509e-01
1.150740e+03 0.000000e+00 1.121426e+00 3.345815e-01
1.150750e+03 0.000000e+00 9.909961e-01 3.145232e-01
1.150760e+03 0.000000e+00 1.026175e+00 3.200570e-01
1.150770e+03 0.000000e+00 1.036623e+00 3.216822e-01
1.150780e+03 0.000000e+00 1.172670e+00 3.421406e-01
1.150790e+03 0.000000e+00 1.089773e+00 3.298259e-01
1.150800e+03 0.000000e+00 8.800039e-01 2.963869e-01
1.150810e+03 0.000000e+00 9.808322e-01 3.129061e-01
1.150820e+03 0.000000e+00 9.601891e-01 3.095958e-01
1.150830e+03 0.000000e+00 9.034978e-01 3.003172e-01
1.150840e+03 0.000000e+00 1.013261e+00 3.180368e-01
1.150850e+03 0.000000e+00 1.115509e+00 3.336977e-01
1.150860e+03 0.000000e+00 9.844372e-01 3.134806e-01
1.150870e+03 0.000000e+00 9.807563e-01 3.128940e-01
1.150880e+03 0.000000e+00 8.786093e-01 2.961519e-01
1.150890e+03 0.000000e+00 1.095307e+00 3.306623e-01
1.150900e+03 0.000000e+00 9.747752e-01 3.119385e-01
1.150910e+03 0.000000e+00 9.365981e-01 3.057689e-01
1.150920e+03 0.000000e+00 1.096309e+00 3.308134e-01
1.150930e+03 0.000000e+00 1.009988e+00 3.175227e-01
1.150940e+03 0.000000e+00 1.143992e+00 3.379311e-01
1.150950e+03 0.000000e+00 1.011261e+00 3.177227e-01
1.150960e+03 0.000000e+00 1.217561e+00 3.486279e-01
1.150970e+03 0.000000e+00 1.067142e+00 3.263832e-01
1.150980e+03 0.000000e+00 1.034028e+00 3.212794e-01
1.150990e+03 0.000000e+00 9.678318e-01 3.108255e-01
1.151000e+03 0.000000e+00 1.161491e+00 3.405058e-01
1.151010e+03 0.000000e+00 1.072337e+00 3.271767e-01
1.151020e+03 0.000000e+00 1.018793e+00 3.189038e-01
1.151030e+03 0.000000e+00 9.882125e-01 3.140811e-01
1.151040e+03 0.000000e+00 1.073678e+00 3.273812e-01
1.151050e+03 0.000000e+00 1.021032e+00 3.192540e-01
1.151060e+03 0.000000e+00 1.152023e+00 3.391152e-01
