# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 7.921035e-01 2.813260e-01
1.150010e+03 0.000000e+00 7.476344e-01 2.733151e-01
1.150020e+03 0.000000e+00 1.032969e+00 3.212645e-01
1.150030e+03 0.000000e+00 8.363463e-01 2.890760e-01
1.150040e+03 0.000000e+00 8.841600e-01 2.972244e-01
1.150050e+03 0.000000e+00 9.291134e-01 3.046866e-01
1.150060e+03 0.000000e+00 8.186224e-01 2.859965e-01
1.150070e+03 0.000000e+00 8.757039e-01 2.957996e-01
1.150080e+03 0.000000e+00 9.532079e-01 3.086120e-01
1.150090e+03 0.000000e+00 8.619129e-01 2.934612e-01
1.150100e+03 0.000000e+00 9.238244e-01 3.038181e-01
1.150110e+03 0.000000e+00 9.310570e-01 3.050051e-01
1.150120e+03 0.000000e+00 1.030228e+00 3.208379e-01
1.150130e+03 0.000000e+00 1.069394e+00 3.268796e-01
1.150140e+03 0.000000e+00 1.039181e+00 3.222290e-01
1.150150e+03 0.000000e+00 9.950431e-01 3.153116e-01
1.150160e+03 0.000000e+00 9.012897e-01 3.000898e-01
1.150170e+03 0.000000e+00 8.572063e-01 2.926588e-01
1.150180e+03 0.000000e+00 1.098468e+00 3.312933e-01
1.150190e+03 0.000000e+00 8.235934e-01 2.868636e-01
1.150200e+03 0.000000e+00 1.013746e+00 3.182611e-01
1.150210e+03 0.000000e+00 9.045632e-01 3.006342e-01
1.150220e+03 0.000000e+00 9.543277e-01 3.087932e-01
1.150230e+03 0.000000e+00 1.180724e+00 3.434734e-01
1.150240e+03 0.000000e+00 1.046007e+00 3.232855e-01
1.150250e+03 0.000000e+00 1.000612e+00 3.161927e-01
1.150260e+03 0.000000e+00 8.581764e-01 2.928244e-01
1.150270e+03 0.000000e+00 9.243084e-01 3.038977e-01
1.150280e+03 0.000000e+00 1.009224e+00 3.175505e-01
1.150290e+03 0.000000e+00 9.407027e-01 3.065810e-01
1.150300e+03 0.000000e+00 1.193709e+00 3.453569e-01
