# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 6.534314e-01 2.551693e-01
1.405012e+03 0.000000e+00 6.798177e-01 2.602704e-01
1.405024e+03 0.000000e+00 6.885367e-01 2.619341e-01
1.405036e+03 0.000000e+00 7.880547e-01 2.802249e-01
1.405048e+03 0.000000e+00 7.909773e-01 2.807440e-01
1.405060e+03 0.000000e+00 9.472484e-01 3.072277e-01
1.405072e+03 0.000000e+00 6.879257e-01 2.618178e-01
1.405084e+03 0.000000e+00 8.523651e-01 2.914347e-01
1.405096e+03 0.000000e+00 9.987530e-01 3.154696e-01
1.405108e+03 0.000000e+00 8.997886e-01 2.994324e-01
1.405120e+03 0.000000e+00 8.949129e-01 2.986200e-01
1.405132e+03 0.000000e+00 8.721596e-01 2.947993e-01
1.405144e+03 0.000000e+00 9.187230e-01 3.025664e-01
1.405156e+03 0.000000e+00 9.433996e-01 3.066029e-01
1.405168e+03 0.000000e+00 9.939960e-01 3.147174e-01
1.405180e+03 0.000000e+00 1.085183e+00 3.288365e-01
1.405192e+03 0.000000e+00 8.225553e-01 2.862932e-01
1.405204e+03 0.000000e+00 9.113755e-01 3.013541e-01
1.405216e+03 0.000000e+00 7.618858e-01 2.755329e-01
1.405228e+03 0.000000e+00 9.144698e-01 3.018653e-01
1.405240e+03 0.000000e+00 8.816326e-01 2.963960e-01
1.405252e+03 0.000000e+00 9.856369e-01 3.133913e-01
1.405264e+03 0.000000e+00 9.941419e-01 3.147405e-01
1.405276e+03 0.000000e+00 1.001259e+00 3.158651e-01
1.405288e+03 0.000000e+00 9.750634e-01 3.117058e-01
1.405300e+03 0.000000e+00 9.798234e-01 3.124657e-01
1.405312e+03 0.000000e+00 9.067791e-01 3.005933e-01
1.405324e+03 0.000000e+00 9.441346e-01 3.067224e-01
1.405336e+03 0.000000e+00 9.502451e-01 3.077133e-01
1.405348e+03 0.000000e+00 9.367066e-01 3.055134e-01
1.405360e+03 0.000000e+00 9.100212e-01 3.011301e-01
1.405372e+03 0.000000e+00 1.011534e+00 3.174817e-01
1.405384e+03 0.000000e+00 9.327515e-01 3.048677e-01
1.405396e+03 0.000000e+00 9.102987e-01 3.011760e-01
1.405408e+03 0.000000e+00 9.290692e-01 3.042654e-01
1.405420e+03 0.000000e+00 9.472237e-01 3.072237e-01
1.405432e+03 0.000000e+00 7.984966e-01 2.820753e-01
1.405444e+03 0.000000e+00 9.883284e-01 3.138189e-01
1.405456e+03 0.000000e+00 1.125979e+00 3.349605e-01
1.405468e+03 0.000000e+00 1.090951e+00 3.297092e-01
1.405480e+03 0.000000e+00 9.991508e-01 3.155324e-01
1.405492e+03 0.000000e+00 9.722646e-01 3.112581e-01
1.405504e+03 0.000000e+00 8.911879e-01 2.979978e-01
1.405516e+03 0.000000e+00 1.063200e+00 3.254888e-01
1.405528e+03 0.000000e+00 9.158261e-01 3.020890e-01
1.405540e+03 0.000000e+00 9.324102e-01 3.048119e-01
1.405552e+03 0.000000e+00 1.034867e+00 3.211225e-01
1.405564e+03 0.000000e+00 1.043247e+00 3.224200e-01
1.405576e+03 0.000000e+00 1.026121e+00 3.197627e-01
1.405588e+03 0.000000e+00 9.501449e-01 3.076971e-01
1.405600e+03 0.000000e+00 1.037128e+00 3.214731e-01
1.405612e+03 0.000000e+00 9.674829e-01 3.104918e-01
1.405624e+03 0.000000e+00 9.089436e-01 3.009518e-01
1.405636e+03 0.000000e+00 1.012173e+00 3.175820e-01
1.405648e+03 0.000000e+00 9.826955e-01 3.129233e-01
1.405660e+03 0.000000e+00 9.074315e-01 3.007014e-01
1.405672e+03 0.000000e+00 1.086046e+00 3.289672e-01
1.405684e+03 0.000000e+00 1.041982e+00 3.222245e-01
1.405696e+03 0.000000e+00 9.190338e-01 3.026176e-01
1.405708e+03 0.000000e+00 1.011355e+00 3.174536e-01
1.405720e+03 0.000000e+00 7.582999e-01 2.748837e-01
1.405732e+03 0.000000e+00 9.097772e-01 3.010898e-01
1.405744e+03 0.000000e+00 1.144091e+00 3.376438e-01
1.405756e+03 0.000000e+00 8.784358e-01 2.958581e-01
1.405768e+03 0.000000e+00 9.594948e-01 3.092073e-01
1.405780e+03 0.000000e+00 9.764165e-01 3.119220e-01
1.405792e+03 0.000000e+00 8.649153e-01 2.935724e-01
1.405804e+03 0.000000e+00 1.177190e+00 3.424931e-01
1.405816e+03 0.000000e+00 1.026912e+00 3.198860e-01
1.405828e+03 0.000000e+00 1.120553e+00 3.341525e-01
1.405840e+03 0.000000e+00 9.055245e-01 3.003852e-01
1.405852e+03 0.000000e+00 9.496041e-01 3.076095e-01
1.405864e+03 0.000000e+00 9.988062e-01 3.154780e-01
1.405876e+03 0.000000e+00 9.848142e-01 3.132605e-01
1.405888e+03 0.000000e+00 9.644428e-01 3.100036e-01
1.405900e+03 0.000000e+00 1.074755e+00 3.272527e-01
1.405912e+03 0.000000e+00 1.046179e+00 3.228729e-01
1.405924e+03 0.000000e+00 1.067243e+00 3.261070e-01
1.405936e+03 0.000000e+00 1.056467e+00 3.244565e-01
1.405948e+03 0.000000e+00 1.023333e+00 3.193280e-01
1.405960e+03 0.000000e+00 1.062604e+00 3.253975e-01
1.405972e+03 0.000000e+00 1.007954e+00 3.169194e-01
1.405984e+03 0.000000e+00 1.013542e+00 3.177967e-01
1.405996e+03 0.000000e+00 8.984275e-01 2.992058e-01
1.406008e+03 0.000000e+00 1.139306e+00 3.369370e-01
1.406020e+03 0.000000e+00 1.057457e+00 3.246085e-01
1.406032e+03 0.000000e+00 1.142408e+00 3.373954e-01
1.406044e+03 0.000000e+00 1.242597e+00 3.518792e-01
1.406056e+03 0.000000e+00 9.848908e-01 3.132727e-01
1.406068e+03 0.000000e+00 8.101326e-01 2.841231e-01
1.406080e+03 0.000000e+00 1.004343e+00 3.163512e-01
1.406092e+03 0.000000e+00 8.877864e-01 2.974286e-01
1.406104e+03 0.000000e+00 1.021100e+00 3.189794e-01
1.406116e+03 0.000000e+00 1.095842e+00 3.304475e-01
1.406128e+03 0.000000e+00 1.247439e+00 3.525641e-01
1.406140e+03 0.000000e+00 9.422293e-01 3.064127e-01
1.406152e+03 0.000000e+00 1.057924e+00 3.246801e-01
1.406164e+03 0.000000e+00 9.725925e-01 3.113106e-01
1.406176e+03 0.000000e+00 1.046818e+00 3.229714e-01
1.406188e+03 0.000000e+00 1.030879e+00 3.205032e-01
1.406200e+03 0.000000e+00 9.030176e-01 2.999691e-01
1.406212e+03 0.000000e+00 8.542386e-01 2.917548e-01
1.406224e+03 0.000000e+00 9.977839e-01 3.153165e-01
1.406236e+03 0.000000e+00 1.013221e+00 3.177463e-01
1.406248e+03 0.000000e+00 1.083580e+00 3.285936e-01
1.406260e+03 0.000000e+00 9.306421e-01 3.045228e-01
1.406272e+03 0.000000e+00 9.988724e-01 3.154885e-01
1.406284e+03 0.000000e+00 9.979091e-01 3.153363e-01
1.406296e+03 0.000000e+00 9.557428e-01 3.086022e-01
1.406308e+03 0.000000e+00 1.057667e+00 3.246407e-01
1.406320e+03 0.000000e+00 9.692127e-01 3.107692e-01
1.406332e+03 0.000000e+00 1.097975e+00 3.307689e-01
1.406344e+03 0.000000e+00 9.644261e-01 3.100009e-01
1.406356e+03 0.000000e+00 8.397378e-01 2.892680e-01
1.406368e+03 0.000000e+00 1.168662e+00 3.412502e-01
1.406380e+03 0.000000e+00 8.308522e-01 2.877335e-01
1.406392e+03 0.000000e+00 9.131185e-01 3.016422e-01
1.406404e+03 0.000000e+00 1.007517e+00 3.168507e-01
1.406416e+03 0.000000e+00 1.068973e+00 3.263712e-01
1.406428e+03 0.000000e+00 1.168841e+00 3.412764e-01
1.406440e+03 0.000000e+00 1.078683e+00 3.278502e-01
1.406452e+03 0.000000e+00 1.176620e+00 3.424101e-01
1.406464e+03 0.000000e+00 9.858780e-01 3.134296e-01
1.406476e+03 0.000000e+00 9.370618e-01 3.055713e-01
1.406488e+03 0.000000e+00 8.880411e-01 2.974713e-01
1.406500e+03 0.000000e+00 1.068065e+00 3.262326e-01
1.406512e+03 0.000000e+00 8.838293e-01 2.967650e-01
1.406524e+03 0.000000e+00 1.091061e+00 3.297258e-01
1.406536e+03 0.000000e+00 1.042489e+00 3.223028e-01
1.406548e+03 0.000000e+00 1.034004e+00 3.209886e-01
1.406560e+03 0.000000e+00 1.194333e+00 3.449779e-01
1.406572e+03 0.000000e+00 9.653905e-01 3.101559e-01
1.406584e+03 0.000000e+00 1.006254e+00 3.166520e-01
1.406596e+03 0.000000e+00 8.907922e-01 2.979317e-01
1.406608e+03 0.000000e+00 1.052526e+00 3.238508e-01
1.406620e+03 0.000000e+00 1.046688e+00 3.229514e-01
1.406632e+03 0.000000e+00 8.299720e-01 2.875810e-01
1.406644e+03 0.000000e+00 1.314397e+00 3.619027e-01
1.406656e+03 0.000000e+00 9.257662e-01 3.037240e-01
1.406668e+03 0.000000e+00 9.336810e-01 3.050196e-01
1.406680e+03 0.000000e+00 1.120430e+00 3.341341e-01
1.406692e+03 0.000000e+00 1.173116e+00 3.418999e-01
1.406704e+03 0.000000e+00 1.023027e+00 3.192802e-01
1.406716e+03 0.000000e+00 9.672935e-01 3.104614e-01
1.406728e+03 0.000000e+00 1.055573e+00 3.243192e-01
1.406740e+03 0.000000e+00 1.145202e+00 3.378077e-01
1.406752e+03 0.000000e+00 9.547323e-01 3.084390e-01
1.406764e+03 0.000000e+00 1.188101e+00 3.440766e-01
1.406776e+03 0.000000e+00 8.391696e-01 2.891701e-01
1.406788e+03 0.000000e+00 1.091788e+00 3.298357e-01
1.406800e+03 0.000000e+00 1.084939e+00 3.287995e-01
1.406812e+03 0.000000e+00 1.003396e+00 3.162020e-01
1.406824e+03 0.000000e+00 1.047990e+00 3.231521e-01
1.406836e+03 0.000000e+00 7.924614e-01 2.810072e-01
1.406848e+03 0.000000e+00 1.093539e+00 3.301001e-01
1.406860e+03 0.000000e+00 1.012473e+00 3.176290e-01
1.406872e+03 0.000000e+00 1.092688e+00 3.299716e-01
1.406884e+03 0.000000e+00 9.485917e-01 3.074455e-01
1.406896e+03 0.000000e+00 1.214456e+00 3.478719e-01
1.406908e+03 0.000000e+00 1.067657e+00 3.261703e-01
1.406920e+03 0.000000e+00 1.132543e+00 3.359354e-01
1.406932e+03 0.000000e+00 1.078096e+00 3.277609e-01
1.406944e+03 0.000000e+00 9.951166e-01 3.148948e-01
1.406956e+03 0.000000e+00 8.982691e-01 2.991794e-01
1.406968e+03 0.000000e+00 1.032967e+00 3.208275e-01
1.406980e+03 0.000000e+00 9.545499e-01 3.084095e-01
1.406992e+03 0.000000e+00 1.071324e+00 3.267299e-01
1.407004e+03 0.000000e+00 9.889673e-01 3.139203e-01
1.407016e+03 0.000000e+00 9.879621e-01 3.137608e-01
1.407028e+03 0.000000e+00 1.028058e+00 3.200644e-01
1.407040e+03 0.000000e+00 1.075873e+00 3.274228e-01
1.407052e+03 0.000000e+00 1.006809e+00 3.167394e-01
1.407064e+03 0.000000e+00 8.430842e-01 2.898437e-01
1.407076e+03 0.000000e+00 1.189435e+00 3.442697e-01
1.407088e+03 0.000000e+00 9.975197e-01 3.152748e-01
1.407100e+03 0.000000e+00 1.070858e+00 3.266588e-01
1.407112e+03 0.000000e+00 1.033266e+00 3.208741e-01
