# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 5.132156e-01 2.259882e-01
1.405012e+03 0.000000e+00 6.520417e-01 2.547261e-01
1.405024e+03 0.000000e+00 7.153808e-01 2.668114e-01
1.405036e+03 0.000000e+00 9.381159e-01 3.055371e-01
1.405048e+03 0.000000e+00 9.565441e-01 3.085235e-01
1.405060e+03 0.000000e+00 9.599976e-01 3.090799e-01
1.405072e+03 0.000000e+00 1.028863e+00 3.199739e-01
1.405084e+03 0.000000e+00 7.789371e-01 2.784113e-01
1.405096e+03 0.000000e+00 1.039486e+00 3.216215e-01
1.405108e+03 0.000000e+00 8.768189e-01 2.953865e-01
1.405120e+03 0.000000e+00 1.055486e+00 3.240872e-01
1.405132e+03 0.000000e+00 1.012816e+00 3.174687e-01
1.405144e+03 0.000000e+00 8.088132e-01 2.837003e-01
1.405156e+03 0.000000e+00 1.009910e+00 3.170131e-01
1.405168e+03 0.000000e+00 8.755036e-01 2.951649e-01
1.405180e+03 0.000000e+00 9.568224e-01 3.085684e-01
1.405192e+03 0.000000e+00 8.695450e-01 2.941588e-01
1.405204e+03 0.000000e+00 1.034537e+00 3.208550e-01
1.405216e+03 0.000000e+00 9.803914e-01 3.123457e-01
1.405228e+03 0.000000e+00 9.311987e-01 3.044086e-01
1.405240e+03 0.000000e+00 1.190819e+00 3.442378e-01
1.405252e+03 0.000000e+00 8.233736e-01 2.862426e-01
1.405264e+03 0.000000e+00 9.838107e-01 3.128899e-01
1.405276e+03 0.000000e+00 9.386999e-01 3.056322e-01
1.405288e+03 0.000000e+00 1.072039e+00 3.266187e-01
1.405300e+03 0.000000e+00 1.003218e+00 3.159610e-01
1.405312e+03 0.000000e+00 9.791906e-01 3.121543e-01
1.405324e+03 0.000000e+00 9.886776e-01 3.136629e-01
1.405336e+03 0.000000e+00 1.153410e+00 3.387877e-01
1.405348e+03 0.000000e+00 1.043704e+00 3.222734e-01
1.405360e+03 0.000000e+00 9.343457e-01 3.049225e-01
1.405372e+03 0.000000e+00 7.814771e-01 2.788649e-01
1.405384e+03 0.000000e+00 1.089288e+00 3.292358e-01
1.405396e+03 0.000000e+00 9.595187e-01 3.090028e-01
1.405408e+03 0.000000e+00 1.099249e+00 3.307377e-01
1.405420e+03 0.000000e+00 1.001628e+00 3.157105e-01
1.405432e+03 0.000000e+00 8.210198e-01 2.858331e-01
1.405444e+03 0.000000e+00 9.825206e-01 3.126847e-01
1.405456e+03 0.000000e+00 9.894971e-01 3.137928e-01
1.405468e+03 0.000000e+00 1.170991e+00 3.413600e-01
1.405480e+03 0.000000e+00 1.020703e+00 3.187025e-01
1.405492e+03 0.000000e+00 8.395783e-01 2.890456e-01
1.405504e+03 0.000000e+00 8.620764e-01 2.928928e-01
1.405516e+03 0.000000e+00 9.441522e-01 3.065185e-01
1.405528e+03 0.000000e+00 8.896123e-01 2.975337e-01
1.405540e+03 0.000000e+00 1.104488e+00 3.315250e-01
