# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 5.905640e-01 2.433277e-01
1.405012e+03 0.000000e+00 5.319689e-01 2.309411e-01
1.405024e+03 0.000000e+00 7.413812e-01 2.726332e-01
1.405036e+03 0.000000e+00 8.699908e-01 2.953353e-01
1.405048e+03 0.000000e+00 1.034181e+00 3.220003e-01
1.405060e+03 0.000000e+00 8.253303e-01 2.876550e-01
1.405072e+03 0.000000e+00 8.519405e-01 2.922555e-01
1.405084e+03 0.000000e+00 8.806252e-01 2.971348e-01
1.405096e+03 0.000000e+00 8.628874e-01 2.941271e-01
1.405108e+03 0.000000e+00 9.814200e-01 3.136790e-01
1.405120e+03 0.000000e+00 1.069655e+00 3.274764e-01
1.405132e+03 0.000000e+00 6.534311e-01 2.559516e-01
1.405144e+03 0.000000e+00 8.401188e-01 2.902207e-01
1.405156e+03 0.000000e+00 9.273957e-01 3.049233e-01
1.405168e+03 0.000000e+00 9.707873e-01 3.119752e-01
1.405180e+03 0.000000e+00 9.360335e-01 3.063400e-01
1.405192e+03 0.000000e+00 9.718188e-01 3.121409e-01
1.405204e+03 0.000000e+00 8.616128e-01 2.939098e-01
1.405216e+03 0.000000e+00 9.971038e-01 3.161755e-01
1.405228e+03 0.000000e+00 1.176021e+00 3.433726e-01
1.405240e+03 0.000000e+00 9.912047e-01 3.152388e-01
1.405252e+03 0.000000e+00 9.906811e-01 3.151556e-01
1.405264e+03 0.000000e+00 8.205587e-01 2.868223e-01
1.405276e+03 0.000000e+00 9.968753e-01 3.161393e-01
1.405288e+03 0.000000e+00 1.027531e+00 3.209633e-01
1.405300e+03 0.000000e+00 1.086894e+00 3.301046e-01
1.405312e+03 0.000000e+00 8.721763e-01 2.957060e-01
1.405324e+03 0.000000e+00 1.078423e+00 3.288158e-01
1.405336e+03 0.000000e+00 1.103938e+00 3.326828e-01
1.405348e+03 0.000000e+00 9.337536e-01 3.059667e-01
1.405360e+03 0.000000e+00 9.272631e-01 3.049015e-01
1.405372e+03 0.000000e+00 1.099603e+00 3.320290e-01
1.405384e+03 0.000000e+00 1.004888e+00 3.174073e-01
1.405396e+03 0.000000e+00 1.070353e+00 3.275831e-01
1.405408e+03 0.000000e+00 8.856691e-01 2.979846e-01
1.405420e+03 0.000000e+00 9.014848e-01 3.006334e-01
1.405432e+03 0.000000e+00 1.063918e+00 3.265970e-01
1.405444e+03 0.000000e+00 9.199358e-01 3.036944e-01
1.405456e+03 0.000000e+00 1.114225e+00 3.342292e-01
1.405468e+03 0.000000e+00 1.004636e+00 3.173675e-01
1.405480e+03 0.000000e+00 1.043742e+00 3.234854e-01
1.405492e+03 0.000000e+00 1.048663e+00 3.242470e-01
1.405504e+03 0.000000e+00 1.011916e+00 3.185153e-01
1.405516e+03 0.000000e+00 1.051395e+00 3.246692e-01
1.405528e+03 0.000000e+00 9.095602e-01 3.019769e-01
1.405540e+03 0.000000e+00 1.073292e+00 3.280326e-01
1.405552e+03 0.000000e+00 9.320270e-01 3.056837e-01
1.405564e+03 0.000000e+00 9.644488e-01 3.109551e-01
1.405576e+03 0.000000e+00 1.100157e+00 3.321126e-01
1.405588e+03 0.000000e+00 1.055192e+00 3.252548e-01
1.405600e+03 0.000000e+00 1.090301e+00 3.306216e-01
1.405612e+03 0.000000e+00 9.387260e-01 3.067803e-01
1.405624e+03 0.000000e+00 9.429901e-01 3.074763e-01
1.405636e+03 0.000000e+00 9.604586e-01 3.103111e-01
1.405648e+03 0.000000e+00 8.095948e-01 2.848996e-01
1.405660e+03 0.000000e+00 9.667334e-01 3.113231e-01
1.405672e+03 0.000000e+00 1.024954e+00 3.205607e-01
1.405684e+03 0.000000e+00 1.047774e+00 3.241096e-01
1.405696e+03 0.000000e+00 8.560953e-01 2.929673e-01
1.405708e+03 0.000000e+00 1.105258e+00 3.328817e-01
1.405720e+03 0.000000e+00 1.067615e+00 3.271639e-01
1.405732e+03 0.000000e+00 1.115768e+00 3.344606e-01
1.405744e+03 0.000000e+00 8.857735e-01 2.980021e-01
1.405756e+03 0.000000e+00 9.617800e-01 3.105245e-01
1.405768e+03 0.000000e+00 1.041448e+00 3.231296e-01
1.405780e+03 0.000000e+00 1.010861e+00 3.183492e-01
1.405792e+03 0.000000e+00 1.013338e+00 3.187390e-01
1.405804e+03 0.000000e+00 9.037134e-01 3.010048e-01
1.405816e+03 0.000000e+00 1.061995e+00 3.263016e-01
1.405828e+03 0.000000e+00 9.955434e-01 3.159280e-01
1.405840e+03 0.000000e+00 9.047132e-01 3.011712e-01
1.405852e+03 0.000000e+00 8.826677e-01 2.974792e-01
1.405864e+03 0.000000e+00 8.551672e-01 2.928084e-01
1.405876e+03 0.000000e+00 1.036262e+00 3.223241e-01
1.405888e+03 0.000000e+00 1.027258e+00 3.209207e-01
1.405900e+03 0.000000e+00 9.693085e-01 3.117375e-01
1.405912e+03 0.000000e+00 1.053282e+00 3.249604e-01
1.405924e+03 0.000000e+00 1.044504e+00 3.236035e-01
1.405936e+03 0.000000e+00 1.091573e+00 3.308145e-01
1.405948e+03 0.000000e+00 9.253026e-01 3.045790e-01
1.405960e+03 0.000000e+00 1.038320e+00 3.226440e-01
1.405972e+03 0.000000e+00 1.154540e+00 3.402220e-01
1.405984e+03 0.000000e+00 9.241527e-01 3.043897e-01
1.405996e+03 0.000000e+00 8.632909e-01 2.941959e-01
1.406008e+03 0.000000e+00 1.270782e+00 3.569386e-01
1.406020e+03 0.000000e+00 1.128394e+00 3.363477e-01
1.406032e+03 0.000000e+00 1.009322e+00 3.181067e-01
1.406044e+03 0.000000e+00 8.888820e-01 2.985246e-01
1.406056e+03 0.000000e+00 1.070421e+00 3.275936e-01
1.406068e+03 0.000000e+00 8.507438e-01 2.920501e-01
1.406080e+03 0.000000e+00 1.166556e+00 3.419880e-01
1.406092e+03 0.000000e+00 9.759126e-01 3.127977e-01
1.406104e+03 0.000000e+00 1.014602e+00 3.189377e-01
1.406116e+03 0.000000e+00 8.959455e-01 2.997083e-01
1.406128e+03 0.000000e+00 8.346328e-01 2.892716e-01
1.406140e+03 0.000000e+00 1.150846e+00 3.396773e-01
1.406152e+03 0.000000e+00 1.023274e+00 3.202979e-01
1.406164e+03 0.000000e+00 1.087012e+00 3.301226e-01
1.406176e+03 0.000000e+00 9.524938e-01 3.090218e-01
1.406188e+03 0.000000e+00 1.020037e+00 3.197909e-01
1.406200e+03 0.000000e+00 1.172891e+00 3.429153e-01
1.406212e+03 0.000000e+00 9.098393e-01 3.020233e-01
1.406224e+03 0.000000e+00 8.430943e-01 2.907342e-01
1.406236e+03 0.000000e+00 1.076675e+00 3.285491e-01
1.406248e+03 0.000000e+00 9.513728e-01 3.088399e-01
1.406260e+03 0.000000e+00 1.064093e+00 3.266238e-01
1.406272e+03 0.000000e+00 8.330100e-01 2.889902e-01
1.406284e+03 0.000000e+00 1.147985e+00 3.392548e-01
1.406296e+03 0.000000e+00 8.340704e-01 2.891741e-01
