# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 6.454667e-01 2.538509e-01
1.150010e+03 0.000000e+00 7.703634e-01 2.773253e-01
1.150020e+03 0.000000e+00 5.241575e-01 2.287561e-01
1.150030e+03 0.000000e+00 7.647803e-01 2.763186e-01
1.150040e+03 0.000000e+00 1.038892e+00 3.220526e-01
1.150050e+03 0.000000e+00 9.887515e-01 3.141849e-01
1.150060e+03 0.000000e+00 8.362033e-01 2.889333e-01
1.150070e+03 0.000000e+00 9.507416e-01 3.080867e-01
1.150080e+03 0.000000e+00 9.847948e-01 3.135556e-01
1.150090e+03 0.000000e+00 9.356122e-01 3.056255e-01
1.150100e+03 0.000000e+00 8.570083e-01 2.925056e-01
1.150110e+03 0.000000e+00 7.610511e-01 2.756440e-01
1.150120e+03 0.000000e+00 9.789958e-01 3.126311e-01
1.150130e+03 0.000000e+00 9.876567e-01 3.140109e-01
1.150140e+03 0.000000e+00 1.006860e+00 3.170488e-01
1.150150e+03 0.000000e+00 9.987876e-01 3.157754e-01
1.150160e+03 0.000000e+00 1.022602e+00 3.195178e-01
1.150170e+03 0.000000e+00 8.856500e-01 2.973533e-01
1.150180e+03 0.000000e+00 8.456710e-01 2.905644e-01
1.150190e+03 0.000000e+00 9.714384e-01 3.114220e-01
1.150200e+03 0.000000e+00 1.032661e+00 3.210854e-01
1.150210e+03 0.000000e+00 1.075621e+00 3.276962e-01
1.150220e+03 0.000000e+00 1.125200e+00 3.351634e-01
1.150230e+03 0.000000e+00 1.013535e+00 3.180981e-01
1.150240e+03 0.000000e+00 8.062210e-01 2.837062e-01
1.150250e+03 0.000000e+00 1.182875e+00 3.436458e-01
1.150260e+03 0.000000e+00 1.092805e+00 3.303035e-01
1.150270e+03 0.000000e+00 1.056442e+00 3.247614e-01
1.150280e+03 0.000000e+00 9.919382e-01 3.146908e-01
1.150290e+03 0.000000e+00 1.096479e+00 3.308581e-01
1.150300e+03 0.000000e+00 8.732187e-01 2.952591e-01
1.150310e+03 0.000000e+00 9.333924e-01 3.052628e-01
1.150320e+03 0.000000e+00 1.045909e+00 3.231385e-01
1.150330e+03 0.000000e+00 1.082221e+00 3.286999e-01
1.150340e+03 0.000000e+00 9.716086e-01 3.114493e-01
1.150350e+03 0.000000e+00 9.972687e-01 3.155352e-01
1.150360e+03 0.000000e+00 1.049288e+00 3.236601e-01
1.150370e+03 0.000000e+00 9.244227e-01 3.037925e-01
1.150380e+03 0.000000e+00 1.082426e+00 3.287311e-01
1.150390e+03 0.000000e+00 9.166001e-01 3.025044e-01
1.150400e+03 0.000000e+00 8.467852e-01 2.907558e-01
1.150410e+03 0.000000e+00 1.033396e+00 3.211997e-01
1.150420e+03 0.000000e+00 1.103083e+00 3.318531e-01
1.150430e+03 0.000000e+00 1.061979e+00 3.256115e-01
1.150440e+03 0.000000e+00 1.010811e+00 3.176703e-01
1.150450e+03 0.000000e+00 1.162730e+00 3.407071e-01
1.150460e+03 0.000000e+00 1.072295e+00 3.271891e-01
