# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 4.760187e-01 2.187160e-01
1.405012e+03 0.000000e+00 7.657558e-01 2.774046e-01
1.405024e+03 0.000000e+00 7.218660e-01 2.693375e-01
1.405036e+03 0.000000e+00 7.798634e-01 2.799483e-01
1.405048e+03 0.000000e+00 1.014373e+00 3.192768e-01
1.405060e+03 0.000000e+00 9.810594e-01 3.139903e-01
1.405072e+03 0.000000e+00 7.793238e-01 2.798514e-01
1.405084e+03 0.000000e+00 9.601424e-01 3.106250e-01
1.405096e+03 0.000000e+00 9.824568e-01 3.142138e-01
1.405108e+03 0.000000e+00 9.556682e-01 3.099004e-01
1.405120e+03 0.000000e+00 9.327504e-01 3.061620e-01
1.405132e+03 0.000000e+00 9.825293e-01 3.142254e-01
1.405144e+03 0.000000e+00 1.028734e+00 3.215290e-01
1.405156e+03 0.000000e+00 9.880926e-01 3.151137e-01
1.405168e+03 0.000000e+00 9.503419e-01 3.090356e-01
1.405180e+03 0.000000e+00 1.004267e+00 3.176824e-01
1.405192e+03 0.000000e+00 9.665563e-01 3.116607e-01
1.405204e+03 0.000000e+00 9.347042e-01 3.064825e-01
1.405216e+03 0.000000e+00 1.030423e+00 3.217928e-01
1.405228e+03 0.000000e+00 1.039939e+00 3.232753e-01
1.405240e+03 0.000000e+00 1.092795e+00 3.313889e-01
1.405252e+03 0.000000e+00 1.032947e+00 3.221866e-01
1.405264e+03 0.000000e+00 9.924411e-01 3.158064e-01
1.405276e+03 0.000000e+00 1.001795e+00 3.172911e-01
1.405288e+03 0.000000e+00 9.577407e-01 3.102362e-01
1.405300e+03 0.000000e+00 9.001403e-01 3.007625e-01
1.405312e+03 0.000000e+00 1.066669e+00 3.274036e-01
1.405324e+03 0.000000e+00 9.731295e-01 3.127187e-01
1.405336e+03 0.000000e+00 1.021749e+00 3.204354e-01
1.405348e+03 0.000000e+00 1.026267e+00 3.211431e-01
1.405360e+03 0.000000e+00 1.118997e+00 3.353381e-01
1.405372e+03 0.000000e+00 1.009981e+00 3.185848e-01
1.405384e+03 0.000000e+00 9.566186e-01 3.100544e-01
1.405396e+03 0.000000e+00 8.961744e-01 3.000992e-01
1.405408e+03 0.000000e+00 1.095195e+00 3.317525e-01
1.405420e+03 0.000000e+00 1.072461e+00 3.282911e-01
1.405432e+03 0.000000e+00 1.096878e+00 3.320074e-01
1.405444e+03 0.000000e+00 1.174981e+00 3.436244e-01
1.405456e+03 0.000000e+00 9.969677e-01 3.165258e-01
1.405468e+03 0.000000e+00 7.713968e-01 2.784245e-01
1.405480e+03 0.000000e+00 8.750393e-01 2.965393e-01
1.405492e+03 0.000000e+00 1.038288e+00 3.230186e-01
1.405504e+03 0.000000e+00 1.000566e+00 3.170965e-01
1.405516e+03 0.000000e+00 9.035362e-01 3.013293e-01
1.405528e+03 0.000000e+00 1.055285e+00 3.256518e-01
1.405540e+03 0.000000e+00 1.155692e+00 3.407922e-01
1.405552e+03 0.000000e+00 9.510173e-01 3.091454e-01
1.405564e+03 0.000000e+00 1.059313e+00 3.262726e-01
1.405576e+03 0.000000e+00 1.188744e+00 3.456310e-01
1.405588e+03 0.000000e+00 9.369295e-01 3.068471e-01
1.405600e+03 0.000000e+00 1.080175e+00 3.294697e-01
1.405612e+03 0.000000e+00 1.098629e+00 3.322722e-01
1.405624e+03 0.000000e+00 1.088427e+00 3.307259e-01
