# wavelength[A] tau flux flux_error
1.405000e+03 0.000000e+00 7.107775e-01 2.655932e-01
1.405012e+03 0.000000e+00 5.615641e-01 2.360749e-01
1.405024e+03 0.000000e+00 8.327958e-01 2.874878e-01
1.405036e+03 0.000000e+00 7.273374e-01 2.686693e-01
1.405048e+03 0.000000e+00 8.625439e-01 2.925773e-01
1.405060e+03 0.000000e+00 9.977602e-01 3.146757e-01
1.405072e+03 0.000000e+00 8.913337e-01 2.974201e-01
1.405084e+03 0.000000e+00 1.002548e+00 3.154298e-01
1.405096e+03 0.000000e+00 9.536717e-01 3.076448e-01
1.405108e+03 0.000000e+00 8.320846e-01 2.873650e-01
1.405120e+03 0.000000e+00 9.494545e-01 3.069638e-01
1.405132e+03 0.000000e+00 9.169202e-01 3.016587e-01
1.405144e+03 0.000000e+00 9.024753e-01 2.992732e-01
1.405156e+03 0.000000e+00 9.813430e-01 3.120761e-01
1.405168e+03 0.000000e+00 1.110035e+00 3.319086e-01
1.405180e+03 0.000000e+00 1.092642e+00 3.292979e-01
1.405192e+03 0.000000e+00 8.929559e-01 2.976906e-01
1.405204e+03 0.000000e+00 8.365859e-01 2.881412e-01
1.405216e+03 0.000000e+00 1.104680e+00 3.311069e-01
1.405228e+03 0.000000e+00 1.165419e+00 3.400878e-01
1.405240e+03 0.000000e+00 1.032716e+00 3.201405e-01
1.405252e+03 0.000000e+00 9.464833e-01 3.064831e-01
1.405264e+03 0.000000e+00 1.128880e+00 3.347140e-01
1.405276e+03 0.000000e+00 8.631478e-01 2.926798e-01
1.405288e+03 0.000000e+00 9.288571e-01 3.036159e-01
1.405300e+03 0.000000e+00 1.158192e+00 3.390318e-01
1.405312e+03 0.000000e+00 7.455933e-01 2.720202e-01
1.405324e+03 0.000000e+00 9.800601e-01 3.118720e-01
1.405336e+03 0.000000e+00 9.862868e-01 3.128612e-01
1.405348e+03 0.000000e+00 1.047030e+00 3.223515e-01
1.405360e+03 0.000000e+00 1.059009e+00 3.241902e-01
1.405372e+03 0.000000e+00 1.098612e+00 3.301964e-01
1.405384e+03 0.000000e+00 8.547814e-01 2.912578e-01
1.405396e+03 0.000000e+00 1.028389e+00 3.194690e-01
1.405408e+03 0.000000e+00 9.485496e-01 3.068175e-01
1.405420e+03 0.000000e+00 9.844291e-01 3.125664e-01
1.405432e+03 0.000000e+00 1.033767e+00 3.203033e-01
